Year,Value,SERIES
2005,117.648614233714,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2006,120.937956776141,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2007,125.802108344717,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2008,125.562283428586,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2009,121.152025005878,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2010,121.921205690789,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2011,123.415449565063,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2012,125.92340945771,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2013,128.513274640505,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2014,129.513532531153,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2015,131.285520132908,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2016,129.497095016931,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2017,127.937515471829,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2018,115.442056623269,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2019,110.279328912234,"Number of automated teller machines (ATMs) per 100,000 adults [8.10.1]"
2004,29.0259600420828,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2005,28.3171329150186,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2006,26.4304276443193,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2007,26.380866219934,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2008,26.0275156947452,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2009,25.4113794206217,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2010,24.6989547970729,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2011,24.0565123847324,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2012,22.0833414414752,"Number of commercial bank branches per 100,000 adults [8.10.1]"
2013,25.1399141642588,"Number of commercial bank branches per 100,000 adults [8.10.1]"
