Year,Value,Series,GeoCode,Observation status,Unit multiplier
1997,8.9,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
1998,9.38,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
1999,9.79,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2000,10.22,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2001,10.78,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2002,11.35,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2003,11.73,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2004,12.0,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2005,12.5,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2006,12.97,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2007,13.38,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2008,13.94,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2009,14.39,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2010,14.6,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2011,14.71,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2012,14.84,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2013,15.13,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2014,15.12,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2015,15.26,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2016,15.73,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2017,16.16,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2018,16.71,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2019,17.25,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2020,17.57,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
2021,17.97,1. Annual survey of hours and earnings (ASHE),,Normal value,Units
