Year,SERIES,SEX,Value
2016,SI_COV_BENFTS,,93.5
2020,SI_COV_BENFTS,,93.5
2016,SI_COV_CHLD,,100.0
2020,SI_COV_CHLD,,100.0
2020,SI_COV_CHLD,F,100.0
2020,SI_COV_CHLD,M,100.0
2016,SI_COV_DISAB,,100.0
2017,SI_COV_DISAB,,100.0
2020,SI_COV_DISAB,,100.0
2020,SI_COV_DISAB,F,100.0
2020,SI_COV_DISAB,M,100.0
2016,SI_COV_MATNL,F,100.0
2020,SI_COV_MATNL,F,100.0
2000,SI_COV_PENSN,,98.0
2013,SI_COV_PENSN,,100.0
2014,SI_COV_PENSN,,100.0
2020,SI_COV_PENSN,,100.0
2013,SI_COV_PENSN,F,100.0
2014,SI_COV_PENSN,F,100.0
2020,SI_COV_PENSN,F,100.0
2013,SI_COV_PENSN,M,98.7
2014,SI_COV_PENSN,M,100.0
2020,SI_COV_PENSN,M,100.0
2016,SI_COV_POOR,,100.0
2000,SI_COV_UEMP,,68.2
2005,SI_COV_UEMP,,61.0
2007,SI_COV_UEMP,,53.8
2009,SI_COV_UEMP,,65.0
2010,SI_COV_UEMP,,61.6
2011,SI_COV_UEMP,,60.8
2014,SI_COV_UEMP,,60.0
2020,SI_COV_UEMP,,56.4
2016,SI_COV_VULN,,76.6
2020,SI_COV_VULN,,76.6
2019,SI_COV_WKINJRY,,68.0
