Year,SERIES,Value
2008,FI_FSI_FSANL,1.55697368984839
2009,FI_FSI_FSANL,3.50865701820859
2010,FI_FSI_FSANL,3.95483378788783
2011,FI_FSI_FSANL,3.9618682056152
2012,FI_FSI_FSANL,3.58628400773794
2013,FI_FSI_FSANL,3.11174173873799
2014,FI_FSI_FSANL,1.65439245472471
2015,FI_FSI_FSANL,1.01450846580939
2016,FI_FSI_FSANL,0.940161283918784
2017,FI_FSI_FSANL,0.734659749879133
2018,FI_FSI_FSANL,1.07262754451579
2019,FI_FSI_FSANL,1.0795039959047
2005,FI_FSI_FSERA,0.95094894730664
2008,FI_FSI_FSERA,-0.0831297391651503
2009,FI_FSI_FSERA,-0.0026720005176525
2010,FI_FSI_FSERA,0.316476487551012
2011,FI_FSI_FSERA,0.294422997426777
2012,FI_FSI_FSERA,0.170326196685778
2013,FI_FSI_FSERA,0.223889675359384
2014,FI_FSI_FSERA,0.330513389582683
2015,FI_FSI_FSERA,0.275649427993498
2016,FI_FSI_FSERA,0.250064491223277
2017,FI_FSI_FSERA,0.492681328876266
2018,FI_FSI_FSERA,0.497533568461242
2019,FI_FSI_FSERA,0.464198858115632
2008,FI_FSI_FSKA,4.41328122610463
2009,FI_FSI_FSKA,5.39304807009135
2010,FI_FSI_FSKA,5.36611989213514
2011,FI_FSI_FSKA,5.09956513145533
2012,FI_FSI_FSKA,5.50896288366394
2013,FI_FSI_FSKA,6.34548637462939
2014,FI_FSI_FSKA,5.62132221166489
2015,FI_FSI_FSKA,6.83822926439126
2016,FI_FSI_FSKA,7.02517052448229
2017,FI_FSI_FSKA,6.78469168977896
2018,FI_FSI_FSKA,6.81646006540008
2019,FI_FSI_FSKA,6.7899180007364
2008,FI_FSI_FSKNL,8.64848697073157
2009,FI_FSI_FSKNL,14.7975849187733
2010,FI_FSI_FSKNL,16.8649363390134
2011,FI_FSI_FSKNL,16.1134062245664
2012,FI_FSI_FSKNL,13.8721492816137
2013,FI_FSI_FSKNL,9.4770603431779
2014,FI_FSI_FSKNL,5.37932468095875
2015,FI_FSI_FSKNL,3.87962826090239
2016,FI_FSI_FSKNL,3.44934661017466
2017,FI_FSI_FSKNL,2.94310337892946
2018,FI_FSI_FSKNL,6.80958664658105
2019,FI_FSI_FSKNL,6.3784736743323
2008,FI_FSI_FSKRTC,9.60975120920988
2009,FI_FSI_FSKRTC,11.5690737482887
2010,FI_FSI_FSKRTC,13.2322882917556
2011,FI_FSI_FSKRTC,13.3115478289476
2012,FI_FSI_FSKRTC,14.5076818081671
2013,FI_FSI_FSKRTC,16.0777352692212
2014,FI_FSI_FSKRTC,13.6253247716506
2015,FI_FSI_FSKRTC,15.6858136372728
2016,FI_FSI_FSKRTC,16.8847084420138
2017,FI_FSI_FSKRTC,17.0973581238809
2018,FI_FSI_FSKRTC,17.9259112573521
2019,FI_FSI_FSKRTC,17.944576878067
2008,FI_FSI_FSLS,42.3173135643807
2009,FI_FSI_FSLS,38.0367199393083
2010,FI_FSI_FSLS,37.9029007685543
2011,FI_FSI_FSLS,40.8864953681458
2012,FI_FSI_FSLS,36.8081126415832
2013,FI_FSI_FSLS,35.6946513876997
2014,FI_FSI_FSLS,35.692415343885
2015,FI_FSI_FSLS,35.891958477697
2016,FI_FSI_FSLS,37.9184258453251
2017,FI_FSI_FSLS,37.7911220689827
2018,FI_FSI_FSLS,40.6758568820882
2019,FI_FSI_FSLS,44.4311468777317
2008,FI_FSI_FSSNO,29.1707688204952
2009,FI_FSI_FSSNO,1.0454565927824
2010,FI_FSI_FSSNO,5.6209365621236
2011,FI_FSI_FSSNO,3.33478187611339
2012,FI_FSI_FSSNO,-6.0929177537681
2013,FI_FSI_FSSNO,-10.5004491554457
2014,FI_FSI_FSSNO,8.29868768301941
2015,FI_FSI_FSSNO,3.06479372915334
2016,FI_FSI_FSSNO,-3.37516436015772
2017,FI_FSI_FSSNO,-3.72918576530756
2018,FI_FSI_FSSNO,-3.44740261259239
2019,FI_FSI_FSSNO,-1.09126698214009
