Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Source details,COMMENT_OBS,Observation-level footnotes,Value
2008,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,7.2091
2009,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,7.50373
2010,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,7.5537
2011,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,8.07836
2012,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,7.80486
2013,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,7.57863
2014,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,7.97974
2015,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,10.0683
2016,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,14.65085
2017,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,13.05145
2018,UNSD / UNU / WESR,"Electronic waste collected, per capita (KG) [12.4.2]",,Kilograms,UNSD / UNU / WESR,,,12.15933
2008,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,448010.0
2009,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,471449.0
2010,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,479356.0
2011,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,517192.0
2012,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,503611.0
2013,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,492490.0
2014,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,522059.0
2015,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,663100.0
2016,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,971321.0
2017,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2019,Eurostat_2021,870890.0
2018,UNSD / UNU / WESR,Electronic waste collected (Tonnes) [12.4.2],,Metric Tons,UNSD / UNU / WESR,Eurostat_2021,Eurostat_2021,816398.0
2017,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Incineration,Percent,UNSTATS / WESR ,,,37.45592
2017,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Landfilling,Percent,UNSTATS / WESR ,Eurostat estimate.,Eurostat estimate.,16.91307
2000,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,8.35248
2001,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,9.10288
2002,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,10.50602
2003,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,13.3167
2004,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,15.66125
2005,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,18.11452
2006,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,20.03157
2007,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,22.08166
2008,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,23.26173
2009,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,24.2717
2010,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,25.25113
2011,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,26.18297
2012,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,26.87338
2013,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,27.4134
2014,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,27.31361
2015,UNSTATS / WESR ,"Municipal waste treated, by type of treatment (%) [12.4.2]",Waste treatment: Recycling,Percent,UNSTATS / WESR ,,,27.24998
