Year,COMMENT_OBS,SERIES,UNIT_MEASURE,BASE_PER,Value
2000,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.11
2001,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.12
2002,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.08
2003,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.13
2004,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.14
2005,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.12
2006,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.16
2007,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.15
2008,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.16
2009,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.18
2010,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.2
2011,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.21
2012,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.19
2013,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.24
2014,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.24
2015,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.23
2016,"Net Disbursements; Based on OECD, DAC database, 2021; Including imputed multilateral",DC_ODA_LDCG,PT,,0.22
