Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Nature of data points,Observation-level footnotes,Source details,Value
2010,E,"Obs_Value = 0;  Out of 330 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2011,E,"Obs_Value = 0;  Out of 331 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2012,E,"Obs_Value = 0;  Out of 351 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2013,E,"Obs_Value = 0;  Out of 351 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2014,E,"Obs_Value = 0;  Out of 352 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2015,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2016,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2017,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2018,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
2019,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],Estimated,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,0
