Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,15.88111,11.99615,,12.97976,9.93644,13.86857
2005,15.80084,11.95185,,12.97976,9.93644,13.9026
2010,13.69353,10.53492,,12.97976,9.93644,12.04115
2015,12.6509,9.81143,,12.97976,9.93644,11.19543
2019,12.97976,9.93644,,12.97976,9.93644,11.44531
2000,7.79298,5.82071,Female,6.20952,4.70684,6.67688
2005,7.81548,5.90865,Female,6.20952,4.70684,6.76066
2010,6.61402,5.05634,Female,6.20952,4.70684,5.73558
2015,6.03148,4.66315,Female,6.20952,4.70684,5.28014
2019,6.20952,4.70684,Female,6.20952,4.70684,5.39986
2000,25.03481,18.94522,Male,20.25599,15.49693,21.59916
2005,24.68279,18.68605,Male,20.25599,15.49693,21.50043
2010,21.47234,16.52559,Male,20.25599,15.49693,18.6861
2015,19.83932,15.34371,Male,20.25599,15.49693,17.37993
2019,20.25599,15.49693,Male,20.25599,15.49693,17.74285
