Year,SERIES,Country income classification,Aid description (CRS code),OBS_STATUS,UNIT_MULT,UNIT_MEASURE,REPORTING_TYPE,Value
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,GBP,National,85148.15
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,GBP,National,907.82
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,GBP,National,86055.97
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,GBP,National,87597.08706
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,GBP,National,672.32024
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,GBP,National,88269.4073
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,GBP,National,168291.4563
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,GBP,National,7991.934289
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,GBP,National,176283.3906
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,GBP,National,238877.9366
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Medical research,Normal value,Thousands,GBP,National,16360.69594
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,,Normal value,Thousands,GBP,National,255238.6326
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries [3.b.2]",LDCs,Basic health,Normal value,Thousands,GBP,National,290811.0699
