Year,SOURCE_DETAIL,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Source details,COMMENT_OBS,Observation-level footnotes,Value
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,,Lower secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,100.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,,Lower secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,100.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,,Lower secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,100.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,,Lower secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,100.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,,Upper secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,91.39
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,,Upper secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,93.29
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,,Upper secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,93.64
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2005. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 1 (poorest),Lower secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,100.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2011. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 1 (poorest),Lower secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,100.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,Quintile 1 (poorest),Lower secondary education,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",,,100.0
