Year,SERIES,Water resources management sub-category,UNIT_MEASURE,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,DATA_LAST_UPDATE,Value
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",Arrangements for transboundary water management in most important basins and aquifers,Percent,Normal value,Units,National,,60
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",Basin and aquifer management plans,Percent,Normal value,Units,National,,70
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",National integrated water resources management (IWRM) plans,Percent,Normal value,Units,National,,70
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",National water resources law,Percent,Normal value,Units,National,,90
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",National water resources policy,Percent,Normal value,Units,National,,100
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",Sub-national water resources regulations,Percent,Normal value,Units,National,,100
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",Sub-national water resources policies,Percent,Normal value,Units,National,,90
2017,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",,Percent,Normal value,Units,National,,83
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",Financing for transboundary cooperation,Percent,Normal value,Units,National,,10
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",National budget for investment including water resources infrastructure,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",National budget for the recurrent costs of the integrated water resources management (IWRM) elements,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]","Revenues raised from dedicated levies on water users at basin, aquifer or sub-national levels",Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",Sub-national or basin budgets for investment including water resources infrastructure,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",,Percent,Normal value,Units,National,,66
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",Basin and aquifer level organizations for leading implementation of integrated water resources management (IWRM) plans,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Private Sector participation in water resources development, management and use at national level",Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Coordination between national government authorities representing different sectors on water resources, policy, planning and management",Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",Developing integrated water resources management (IWRM) capacity at the national level,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",National government authority capacity for leading implementation of national integrated water resources management (IWRM) plans,Percent,Normal value,Units,National,,100
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",Organizational framework for transboundary water management for most important basins and aquifers,Percent,Normal value,Units,National,,60
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Public participation in water resources, policy, planning and management at national level",Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Public participation in water resources, policy, planning and management at the local level",Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",Sub-national authorities for leading IWRM implementation,Percent,Normal value,Units,National,,100
2017,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",,Percent,Normal value,Units,National,,82
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Aquifer management instruments,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Basin management instruments,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Data and information sharing within countries at all levels,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Management instruments to reduce impacts of water-related disasters from the national level,Percent,Normal value,Units,National,,90
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Management of water-related ecosystems from the national level,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",National monitoring of water availability,Percent,Normal value,Units,National,,90
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Pollution control from the national level,Percent,Normal value,Units,National,,60
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Sustainable and efficient water use management from the national level,Percent,Normal value,Units,National,,80
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",Transboundary data and information sharing between countries,Percent,Normal value,Units,National,,40
2017,"Degree of integrated water resources management implementation, management instruments (%) [6.5.1]",,Percent,Normal value,Units,National,,76
2017,Degree of integrated water resources management implementation (%) [6.5.1],,Percent,Normal value,Units,National,,77
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",Arrangements for transboundary water management in most important basins and aquifers,Percent,Normal value,Units,National,,60
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",Basin and aquifer management plans,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",National integrated water resources management (IWRM) plans,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",National water resources law,Percent,Normal value,Units,National,,90
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",National water resources policy,Percent,Normal value,Units,National,,100
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",Sub-national water resources policies,Percent,Normal value,Units,National,,90
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",Sub-national water resources regulations,Percent,Normal value,,National,,100
2020,"Degree of integrated water resources management implementation, enabling environment (%) [6.5.1]",,Percent,Normal value,Units,National,,86
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",Financing for transboundary cooperation,Percent,Normal value,Units,National,,10
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",National budget for investment including water resources infrastructure,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",National budget for the recurrent costs of the integrated water resources management (IWRM) elements,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]","Revenues raised from dedicated levies on water users at basin, aquifer or sub-national levels",Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",Sub-national or basin budgets for investment including water resources infrastructure,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",Sub-national or basin budgets for IWRM elements,Percent,Normal value,,National,,80
2020,"Degree of integrated water resources management implementation, financing (%) [6.5.1]",,Percent,Normal value,Units,National,,68
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]",Basin and aquifer level organizations for leading implementation of integrated water resources management (IWRM) plans,Percent,Normal value,Units,National,,80
2020,"Degree of integrated water resources management implementation, institutions and participation (%) [6.5.1]","Private Sector participation in water resources development, management and use at national level",Percent,Normal value,Units,National,,80
