Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Source details,Value
2015,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,"Plastic Pollution (MLW, MDMAP, ICC)",954398.0
2016,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,"Plastic Pollution (MLW, MDMAP, ICC)",1180157.0
2017,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,"Plastic Pollution (MLW, MDMAP, ICC)",505209.0
2018,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,"Plastic Pollution (MLW, MDMAP, ICC)",1151873.0
2019,"Plastic Pollution (MLW, MDMAP, ICC)",Beach litter per square kilometer (Number) [14.1.1],,Number,"Plastic Pollution (MLW, MDMAP, ICC)",26712.0
2018,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: High,Percent,World Environment Situation Room,3.82462
2019,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: High,Percent,World Environment Situation Room,2.69281
2020,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: High,Percent,World Environment Situation Room,3.44213
2018,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: Moderate,Percent,World Environment Situation Room,3.55289
2019,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: Moderate,Percent,World Environment Situation Room,3.15603
2020,World Environment Situation Room,"Chlorophyll-a anomaly, remote sensing (%) [14.1.1]",Frequency of Chlorophyll-a concentration: Moderate,Percent,World Environment Situation Room,3.22562
2000,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,3.34
2001,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,3.06
2002,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,5.24
2003,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,7.6
2004,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,8.19
2005,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,3.31
2006,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,3.0
2007,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,4.13
2008,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,2.3
2009,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,3.46
2010,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,3.39
2011,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,3.97
2012,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,2.99
2013,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,2.29
2014,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,3.49
2015,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,2.01
2016,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,2.05
2017,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,1.16
2018,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,1.64
2019,World Environment Situation Room,"Chlorophyll-a deviations, remote sensing  [14.1.1]",,Percent,World Environment Situation Room,1.42
