Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",12.21014
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",12.64415
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",13.04096
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",13.0575
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",13.07816
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",13.11536
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",13.15256
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",13.18563
2000,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",2954.0
2010,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3059.0
2015,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3155.0
2016,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3159.0
2017,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3164.0
2018,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3173.0
2019,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3182.0
2020,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",3190.0
2000,3,C,,Data from FAOSTAT extracted 20210125,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,24193.0
2010,3,C,,Data from FAOSTAT extracted 20210125,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,24193.0
2015,3,C,,Data from FAOSTAT extracted 20210125,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,24193.0
2016,3,C,,Data from FAOSTAT extracted 20210125,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,24193.0
2017,3,C,,Data from FAOSTAT extracted 20210125,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,24193.0
2018,3,C,,Data from FAOSTAT extracted 20210125,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,24193.0
2019,3,E,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,24193.0
2020,3,E,,FAO estimate based on FAOSTAT data from 2018,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2018,24193.0
