Year,COMMENT_OBS,SDG Series,Sex,Age,Observation-level footnotes,Value
2009,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",549
2010,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",297
2011,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",482
2012,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",555
2013,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",816
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",543
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",596
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",601
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
",Detected victims of human trafficking (number) [16.2.2],,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",29
2010,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",36
2011,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",44
2012,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",100
2013,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",148
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",123
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",30
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",35
2017,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,,"Data in reference to one country but derived from different types of sources should not be compared between them.
",3
2014,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,18 years old and over,"Data in reference to one country but derived from different types of sources should not be compared between them.
",81
2015,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,18 years old and over,"Data in reference to one country but derived from different types of sources should not be compared between them.
",80
2016,"Data in reference to one country but derived from different types of sources should not be compared between them.
","Detected victims of human trafficking for forced labour, servitude and slavery (number) [16.2.2]",Female,18 years old and over,"Data in reference to one country but derived from different types of sources should not be compared between them.
",77
