Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SERIES,Value
2010,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2011,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2012,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2013,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2014,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2015,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2016,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2017,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2018,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2019,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2020,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
2021,E,"Obs_Value = 0;  Out of 354 local breeds (including extinct ones), 1 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 7.9.2021 http://www.fao.org/dad-is/,ER_GRF_ANIMRCNTN,0
1995,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,76440
2000,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,115140
2005,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,452255
2010,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,688252
2012,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,748571
2014,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,785107
2016,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,810741
2017,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,829253
2018,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,842508
2019,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,846059
2020,C,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews) and EURISCO (http://eurisco.ipk-gatersleben.de),ER_GRF_PLNTSTOR,846289
