Year,NATURE,COMMENT_OBS,Value
2001,C,"Out of 66 local breeds, 4% are of unknown status",87
2002,C,"Out of 168 local breeds, 1% are of unknown status",87
2003,C,"Out of 171 local breeds, 4% are of unknown status",88
2004,C,"Out of 172 local breeds, 4% are of unknown status",88
2005,C,"Out of 172 local breeds, 5% are of unknown status",88
2006,C,"Out of 251 local breeds, 36% are of unknown status",89
2007,C,"Out of 255 local breeds, 36% are of unknown status",90
2008,C,"Out of 256 local breeds, 35% are of unknown status",90
2009,C,"Out of 256 local breeds, 36% are of unknown status",91
2010,C,"Out of 256 local breeds, 36% are of unknown status",91
2011,C,"Out of 257 local breeds, 36% are of unknown status",91
2012,C,"Out of 277 local breeds, 70% are of unknown status",87
2013,C,"Out of 277 local breeds, 70% are of unknown status",87
2014,C,"Out of 278 local breeds, 69% are of unknown status",88
2015,C,"Out of 280 local breeds, 69% are of unknown status",87
2016,C,"Out of 280 local breeds, 69% are of unknown status",88
2017,C,"Out of 280 local breeds, 69% are of unknown status",88
2018,C,"Out of 280 local breeds, 69% are of unknown status",88
2019,C,"Out of 280 local breeds, 69% are of unknown status",88
2020,C,"Out of 280 local breeds, 69% are of unknown status",88
2021,E,"Out of 280 local breeds, 69% are of unknown status",88
