Year,SERIES,SEX,AGE,UNIT_MEASURE,Value
2000,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,5.6
2001,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,5.5
2002,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,5.4
2003,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,5.3
2004,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,5.2
2005,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,5.1
2006,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,5.0
2007,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,4.9
2008,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,4.8
2009,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,4.6
2010,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,4.4
2011,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,4.3
2012,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,4.1
2013,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,4.0
2014,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,3.9
2015,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,3.8
2016,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,3.8
2017,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,3.8
2018,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,3.7
2019,SH_DYN_IMRT,,Y0,PER_1000_LIVE_BIRTHS,3.7
2000,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,5.0
2001,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.9
2002,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.8
2003,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.8
2004,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.7
2005,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.6
2006,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.5
2007,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.4
2008,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.3
2009,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.1
2010,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,4.0
2011,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,3.8
2012,SH_DYN_IMRT,F,Y0,PER_1000_LIVE_BIRTHS,3.7
