Year,UPPER_BOUND,LOWER_BOUND,Sex,Upper bound value,Lower bound value,Value
2000,7.2,6.6,,3.4,3,6.9
2005,6.9,6.3,,3.4,3,6.6
2010,3.9,3.5,,3.4,3,3.7
2015,3.1,2.8,,3.4,3,2.9
2019,3.4,3,,3.4,3,3.2
2000,3.7,3.3,Female,1.8,1.5,3.6
2005,3.3,2.9,Female,1.8,1.5,3.1
2010,2,1.8,Female,1.8,1.5,1.9
2015,1.5,1.3,Female,1.8,1.5,1.4
2019,1.8,1.5,Female,1.8,1.5,1.6
2000,10.8,10,Male,5.1,4.5,10.4
2005,10.6,9.9,Male,5.1,4.5,10.3
2010,5.8,5.3,Male,5.1,4.5,5.5
2015,4.7,4.3,Male,5.1,4.5,4.5
2019,5.1,4.5,Male,5.1,4.5,4.8
