Year,Sex,Value
2000,,97.74716
2001,,97.67889
2002,,99.93596
2003,,94.81344
2004,,93.8931
2005,,91.72227
2006,,89.44449
2007,,89.70832
2008,,97.65107
2009,,99.39399
2010,,99.06167
2011,,99.61698
2012,,99.99739
2013,,97.46029
2014,,96.97484
2015,,98.0951
2016,,99.86013
2017,,99.93238
2018,,99.99949
2000,Female,97.61542
2001,Female,97.24961
2002,Female,99.86874
2003,Female,94.92963
2004,Female,93.8008
2005,Female,91.87704
2006,Female,89.71985
2007,Female,89.82992
2008,Female,97.68302
2009,Female,99.55508
2010,Female,99.26962
2011,Female,99.21577
2012,Female,100.0
2013,Female,95.75607
2014,Female,96.88401
2015,Female,96.10174
2016,Female,99.71373
2017,Female,99.86155
2018,Female,99.99895
2000,Male,97.87259
2001,Male,98.08769
2002,Male,100.0
2003,Male,94.70267
2004,Male,93.98113
2005,Male,91.57454
2006,Male,89.18141
2007,Male,89.59228
2008,Male,97.62062
2009,Male,99.24052
2010,Male,98.86347
2011,Male,100.0
2012,Male,99.99489
2013,Male,99.08878
2014,Male,97.06166
2015,Male,100.0
2016,Male,100.0
2017,Male,100.0
2018,Male,100.0
