Year,SEX,Value
2004,,5.5
2005,,8.4
2006,,8.6
2007,,11.9
2008,,12.1
2009,,13.2
2010,,13.6
2011,,14.2
2012,,13.9
2013,,13.2
2014,,11.9
2015,,11.1
2016,,10.9
2017,,10.3
2018,,10.5
2019,,10.5
2004,F,6.7
2005,F,9.6
2006,F,9.6
2007,F,13.7
2008,F,14.1
2009,F,14.5
2010,F,15.1
2011,F,15.4
2012,F,15.0
2013,F,14.4
2014,F,13.1
2015,F,12.4
2016,F,11.5
2017,F,10.4
2018,F,11.2
2019,F,10.6
2004,M,4.2
2005,M,7.3
2006,M,7.5
2007,M,10.1
2008,M,10.1
2009,M,11.9
2010,M,12.1
2011,M,13.1
2012,M,12.8
2013,M,12.2
2014,M,10.7
2015,M,9.8
2016,M,10.3
2017,M,10.2
2018,M,9.7
2019,M,10.5
