Year,COMMENT_OBS,Economic activity,Observation-level footnotes,Value
2000,Repository: Eurostat special tabulation,Manufacturing (ISIC3 D),Repository: Eurostat special tabulation | Break in series: Methodology revised,16.94
2001,Repository: Eurostat special tabulation,Manufacturing (ISIC3 D),Repository: Eurostat special tabulation | Break in series: Methodology revised,16.26
2002,Repository: Eurostat special tabulation,Manufacturing (ISIC3 D),Repository: Eurostat special tabulation | Break in series: Methodology revised,15.5
2003,Repository: Eurostat special tabulation,Manufacturing (ISIC3 D),Repository: Eurostat special tabulation | Break in series: Methodology revised,14.77
2004,Repository: Eurostat special tabulation | Break in series: Methodology revised,Manufacturing (ISIC3 D),Repository: Eurostat special tabulation | Break in series: Methodology revised,13.53
2005,Repository: Eurostat special tabulation | Break in series: Methodology revised,Manufacturing (ISIC3 D),Repository: Eurostat special tabulation | Break in series: Methodology revised,13.2
2006,Repository: Eurostat special tabulation,Manufacturing (ISIC3 D),Repository: Eurostat special tabulation | Break in series: Methodology revised,12.89
2007,Repository: Eurostat special tabulation | Break in series: Methodology revised,Manufacturing (ISIC3 D),Repository: Eurostat special tabulation | Break in series: Methodology revised,12.75
2008,Repository: Eurostat special tabulation | Break in series: Methodology revised,Manufacturing,Repository: Eurostat special tabulation,11.33
2009,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.66
2010,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.84
2011,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.76
2012,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.8
2013,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.75
2014,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.81
2015,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.59
2016,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.47
2017,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.15
2018,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,8.94
2019,Repository: Eurostat special tabulation,Manufacturing,Repository: Eurostat special tabulation,9.14
