Year,Value,Units,Observation status,Unit multiplier,SERIES
2004,0.4,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2005,0.5,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2006,0.2,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2007,0.3,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2008,0.3,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2009,0.2,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2010,0.1,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2011,0.4,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2012,0.2,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2013,0.2,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2014,0.2,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2015,0.1,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
2016,0.2,Percentage (%),Estimated value,Units,Proportion of population below international poverty line
