Year,Value,SERIES
2016,93.5,SI_COV_BENFTS
2020,93.5,SI_COV_BENFTS
2016,100.0,SI_COV_CHLD
2020,100.0,SI_COV_CHLD
2016,100.0,SI_COV_DISAB
2017,100.0,SI_COV_DISAB
2020,100.0,SI_COV_DISAB
2000,98.0,SI_COV_PENSN
2013,100.0,SI_COV_PENSN
2014,100.0,SI_COV_PENSN
2020,100.0,SI_COV_PENSN
2016,100.0,SI_COV_POOR
2000,68.2,SI_COV_UEMP
2005,61.0,SI_COV_UEMP
2007,53.8,SI_COV_UEMP
2009,65.0,SI_COV_UEMP
2010,61.6,SI_COV_UEMP
2011,60.8,SI_COV_UEMP
2014,60.0,SI_COV_UEMP
2020,56.4,SI_COV_UEMP
2016,76.6,SI_COV_VULN
2020,76.6,SI_COV_VULN
2019,68.0,SI_COV_WKINJRY
