Year,Value,UNIT_MEASURE,SERIES
2005,63.0,NUMBER,VC_DSR_MMHN
2006,50.0,NUMBER,VC_DSR_MMHN
2007,46.0,NUMBER,VC_DSR_MMHN
2008,48.0,NUMBER,VC_DSR_MMHN
2009,70.0,NUMBER,VC_DSR_MMHN
2010,49.0,NUMBER,VC_DSR_MMHN
2011,49.0,NUMBER,VC_DSR_MMHN
2012,45.0,NUMBER,VC_DSR_MMHN
2013,58.0,NUMBER,VC_DSR_MMHN
2014,32.0,NUMBER,VC_DSR_MMHN
2015,80.0,NUMBER,VC_DSR_MMHN
2016,44.0,NUMBER,VC_DSR_MMHN
2017,62.0,NUMBER,VC_DSR_MMHN
2018,88.0,NUMBER,VC_DSR_MMHN
2019,41.0,NUMBER,VC_DSR_MMHN
2005,63.0,NUMBER,VC_DSR_MORT
2006,50.0,NUMBER,VC_DSR_MORT
2007,46.0,NUMBER,VC_DSR_MORT
2008,48.0,NUMBER,VC_DSR_MORT
2009,70.0,NUMBER,VC_DSR_MORT
2010,49.0,NUMBER,VC_DSR_MORT
2011,49.0,NUMBER,VC_DSR_MORT
2012,45.0,NUMBER,VC_DSR_MORT
2013,58.0,NUMBER,VC_DSR_MORT
2014,32.0,NUMBER,VC_DSR_MORT
2015,80.0,NUMBER,VC_DSR_MORT
2016,44.0,NUMBER,VC_DSR_MORT
2017,62.0,NUMBER,VC_DSR_MORT
2018,88.0,NUMBER,VC_DSR_MORT
2019,41.0,NUMBER,VC_DSR_MORT
2005,0.10428,PER_100000_POP,VC_DSR_MTMP
2006,0.08276,PER_100000_POP,VC_DSR_MTMP
2007,0.07502,PER_100000_POP,VC_DSR_MTMP
2008,0.07764,PER_100000_POP,VC_DSR_MTMP
2009,0.11243,PER_100000_POP,VC_DSR_MTMP
2010,0.07808,PER_100000_POP,VC_DSR_MTMP
2011,0.07743,PER_100000_POP,VC_DSR_MTMP
2012,0.07064,PER_100000_POP,VC_DSR_MTMP
2013,0.09048,PER_100000_POP,VC_DSR_MTMP
2014,0.04954,PER_100000_POP,VC_DSR_MTMP
2015,0.12287,PER_100000_POP,VC_DSR_MTMP
2016,0.06702,PER_100000_POP,VC_DSR_MTMP
2017,0.09388,PER_100000_POP,VC_DSR_MTMP
2018,0.13246,PER_100000_POP,VC_DSR_MTMP
2019,0.06138,PER_100000_POP,VC_DSR_MTMP
