Year,AGE,SEX,SERIES,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,REPORTING_TYPE,Value
2004,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2005,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.5
2006,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2007,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.3
2008,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.3
2009,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2010,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.1
2011,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2012,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2013,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2014,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2015,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.1
2016,,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2004,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2005,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.3
2006,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2007,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2008,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2009,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.3
2010,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.3
2011,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.3
2012,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.6
2013,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2014,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2015,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.2
2016,under 15 years old,,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.3
2004,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.5
2005,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.6
2006,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.9
2007,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.7
2008,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.8
2009,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.5
2010,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.8
2011,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2012,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.6
2013,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2014,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
2015,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.5
2016,,Male,Proportion of population below international poverty line [1.1.1],Estimated value,Units,Percent,National,0.4
