Year,SDG Series,Sex,Value
2016,Proportion of population covered by at least one social protection benefit [1.3.1],,93.5
2020,Proportion of population covered by at least one social protection benefit [1.3.1],,93.5
2016,Proportion of children/households receiving child/family cash benefit [1.3.1],,100.0
2020,Proportion of children/households receiving child/family cash benefit [1.3.1],,100.0
2020,Proportion of children/households receiving child/family cash benefit [1.3.1],Female,100.0
2020,Proportion of children/households receiving child/family cash benefit [1.3.1],Male,100.0
2016,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,100.0
2017,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,100.0
2020,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,100.0
2020,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],Female,100.0
2020,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],Male,100.0
2016,Proportion of mothers with newborns receiving maternity cash benefit [1.3.1],Female,100.0
2020,Proportion of mothers with newborns receiving maternity cash benefit [1.3.1],Female,100.0
2000,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,98.0
2013,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,100.0
2014,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,100.0
2020,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,100.0
2013,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,100.0
2014,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,100.0
2020,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Female,100.0
2013,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,98.7
2014,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,100.0
2020,Proportion of population above statutory pensionable age receiving a pension [1.3.1],Male,100.0
2016,Proportion of poor population receiving social assistance cash benefit [1.3.1],,100.0
2000,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,68.2
2005,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,61.0
2007,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,53.8
2009,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,65.0
2010,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,61.6
2011,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,60.8
2014,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,60.0
2020,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,56.4
2016,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,76.6
2020,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,76.6
2019,Proportion of employed population covered in the event of work injury [1.3.1],,68.0
