Year,SERIES,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,URBANISATION,DATA_LAST_UPDATE,TIME_DETAIL,Value
2000,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2001,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2002,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2003,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2004,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2005,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2006,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2007,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2008,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2009,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2010,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2011,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2012,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2013,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2014,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2015,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2016,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2017,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2018,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2019,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2020,Proportion of population using basic drinking water services [1.4.1],Normal value,Percent,Units,National,,,,100
2000,Proportion of population using basic sanitation services [1.4.1],Normal value,Percent,Units,National,,,,99
