Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,PRODUCT,UNIT_MEASURE,Value
2005,A,0,G,TM_TRF_ZERO,,PT,36.69737
2010,A,0,G,TM_TRF_ZERO,,PT,41.57237
2015,A,0,G,TM_TRF_ZERO,,PT,47.51073
2017,A,0,G,TM_TRF_ZERO,,PT,51.65722
2018,A,0,G,TM_TRF_ZERO,,PT,52.81778
2019,A,0,G,TM_TRF_ZERO,,PT,52.54822
2020,A,0,G,TM_TRF_ZERO,,PT,54.1689
2005,A,0,G,TM_TRF_ZERO,AGG_AGR,PT,27.26939
2010,A,0,G,TM_TRF_ZERO,AGG_AGR,PT,37.47863
2015,A,0,G,TM_TRF_ZERO,AGG_AGR,PT,39.68386
2017,A,0,G,TM_TRF_ZERO,AGG_AGR,PT,44.46362
2018,A,0,G,TM_TRF_ZERO,AGG_AGR,PT,45.52161
2019,A,0,G,TM_TRF_ZERO,AGG_AGR,PT,46.88194
2020,A,0,G,TM_TRF_ZERO,AGG_AGR,PT,48.11384
2005,A,0,G,TM_TRF_ZERO,AGG_ARMS,PT,41.90751
2010,A,0,G,TM_TRF_ZERO,AGG_ARMS,PT,44.89796
2015,A,0,G,TM_TRF_ZERO,AGG_ARMS,PT,44.67532
2017,A,0,G,TM_TRF_ZERO,AGG_ARMS,PT,53.24324
2018,A,0,G,TM_TRF_ZERO,AGG_ARMS,PT,54.24658
2019,A,0,G,TM_TRF_ZERO,AGG_ARMS,PT,57.66234
2020,A,0,G,TM_TRF_ZERO,AGG_ARMS,PT,59.87842
2005,A,0,G,TM_TRF_ZERO,AGG_CLTH,PT,28.24427
2010,A,0,G,TM_TRF_ZERO,AGG_CLTH,PT,32.19747
2015,A,0,G,TM_TRF_ZERO,AGG_CLTH,PT,37.21447
2017,A,0,G,TM_TRF_ZERO,AGG_CLTH,PT,43.71191
2018,A,0,G,TM_TRF_ZERO,AGG_CLTH,PT,45.85823
2019,A,0,G,TM_TRF_ZERO,AGG_CLTH,PT,43.03393
2020,A,0,G,TM_TRF_ZERO,AGG_CLTH,PT,44.66555
2005,A,0,G,TM_TRF_ZERO,AGG_IND,PT,38.10873
2010,A,0,G,TM_TRF_ZERO,AGG_IND,PT,42.65676
2015,A,0,G,TM_TRF_ZERO,AGG_IND,PT,49.12029
2017,A,0,G,TM_TRF_ZERO,AGG_IND,PT,53.17202
2018,A,0,G,TM_TRF_ZERO,AGG_IND,PT,54.33325
2019,A,0,G,TM_TRF_ZERO,AGG_IND,PT,54.0574
2020,A,0,G,TM_TRF_ZERO,AGG_IND,PT,55.78927
2005,A,0,G,TM_TRF_ZERO,AGG_OIL,PT,54.54545
2010,A,0,G,TM_TRF_ZERO,AGG_OIL,PT,57.14286
2015,A,0,G,TM_TRF_ZERO,AGG_OIL,PT,54.54545
2017,A,0,G,TM_TRF_ZERO,AGG_OIL,PT,80.95238
2018,A,0,G,TM_TRF_ZERO,AGG_OIL,PT,80.95238
2019,A,0,G,TM_TRF_ZERO,AGG_OIL,PT,66.66667
2020,A,0,G,TM_TRF_ZERO,AGG_OIL,PT,61.90476
2005,A,0,G,TM_TRF_ZERO,AGG_TXT,PT,33.26368
2010,A,0,G,TM_TRF_ZERO,AGG_TXT,PT,37.96591
2015,A,0,G,TM_TRF_ZERO,AGG_TXT,PT,44.13294
2017,A,0,G,TM_TRF_ZERO,AGG_TXT,PT,48.30628
2018,A,0,G,TM_TRF_ZERO,AGG_TXT,PT,48.96571
2019,A,0,G,TM_TRF_ZERO,AGG_TXT,PT,48.77396
2020,A,0,G,TM_TRF_ZERO,AGG_TXT,PT,50.26365
