Year,Series,Units,Material category,Observation status,Unit multiplier,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,PRODUCT,UNIT_MEASURE,BASE_PER,Value
2000,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,175.263
2001,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,168.8858
2002,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,175.2724
2003,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,170.6334
2004,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,173.85989999999998
2005,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,172.35029999999998
2006,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,167.6477
2007,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,161.9506
2008,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,169.17479999999998
2009,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,163.6012
2010,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,160.56820000000002
2011,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,165.0108
2012,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,159.181
2013,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,169.7742
2014,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,181.0601
2015,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,174.7963
2016,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,168.44920000000002
2017,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,182.6595
2018,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,174.6735
2019,Domestic material consumption,Tonnes,Biomass,Normal value,Millions,,,,,,,,184.0556
2000,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,240.5836
2001,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,242.2288
2002,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,231.5085
2003,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,244.3185
2004,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,254.1608
2005,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,250.8326
2006,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,245.6999
2007,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,239.3964
2008,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,226.3078
2009,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,208.7325
2010,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,193.3404
2011,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,192.7138
2012,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,194.1838
2013,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,183.2887
2014,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,170.6589
2015,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,160.871
2016,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,149.0349
2017,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,145.5661
2018,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,144.489
2019,Domestic material consumption,Tonnes,Fossil fuels,Normal value,Millions,,,,,,,,142.3796
2000,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,16.9655
2001,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,20.3047
2002,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,18.8867
2003,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,17.4026
2004,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,19.2925
2005,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,17.2714
2006,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,18.0785
2007,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,20.5299
2008,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,15.4372
2009,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,6.2542
2010,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,9.4378
2011,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,8.9774
2012,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,9.8523
2013,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,12.6564
2014,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,14.8838
2015,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,13.634
2016,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,12.1942
2017,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,11.5622
2018,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,11.2524
2019,Domestic material consumption,Tonnes,Metal ores,Normal value,Millions,,,,,,,,13.3974
2000,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,,,,,,,,298.0389
2001,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,,,,,,,,303.8595
2002,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,,,,,,,,289.7323
2003,Domestic material consumption,Tonnes,Non-metallic minerals,Normal value,Millions,,,,,,,,283.8125
