Year,SERIES,Value
2008,ST_EEV_ACCSEEA,1
2009,ST_EEV_ACCSEEA,2
2010,ST_EEV_ACCSEEA,2
2011,ST_EEV_ACCSEEA,2
2012,ST_EEV_ACCSEEA,2
2013,ST_EEV_ACCSEEA,2
2014,ST_EEV_ACCSEEA,2
2015,ST_EEV_ACCSEEA,2
2016,ST_EEV_ACCSEEA,2
2017,ST_EEV_ACCSEEA,2
2018,ST_EEV_ACCSEEA,2
2019,ST_EEV_ACCSEEA,0
2008,ST_EEV_ACCTSA,7
2009,ST_EEV_ACCTSA,7
2010,ST_EEV_ACCTSA,7
2011,ST_EEV_ACCTSA,7
2012,ST_EEV_ACCTSA,7
2013,ST_EEV_ACCTSA,7
2014,ST_EEV_ACCTSA,7
2015,ST_EEV_ACCTSA,7
2016,ST_EEV_ACCTSA,7
2017,ST_EEV_ACCTSA,7
2018,ST_EEV_ACCTSA,0
2019,ST_EEV_ACCTSA,0
2008,ST_EEV_STDACCT,8
2009,ST_EEV_STDACCT,9
2010,ST_EEV_STDACCT,9
2011,ST_EEV_STDACCT,9
2012,ST_EEV_STDACCT,9
2013,ST_EEV_STDACCT,9
2014,ST_EEV_STDACCT,9
2015,ST_EEV_STDACCT,9
2016,ST_EEV_STDACCT,9
2017,ST_EEV_STDACCT,9
2018,ST_EEV_STDACCT,2
2019,ST_EEV_STDACCT,0
