Year,Gas,Observation status,Unit multiplier,Value
1990,Net CO2 emissions (emissions minus removals),Normal value,Units,605.418183995
1991,Net CO2 emissions (emissions minus removals),Normal value,Units,612.3567178204788
1992,Net CO2 emissions (emissions minus removals),Normal value,Units,595.9168794067266
1993,Net CO2 emissions (emissions minus removals),Normal value,Units,581.1291753465596
1994,Net CO2 emissions (emissions minus removals),Normal value,Units,575.1023972718543
1995,Net CO2 emissions (emissions minus removals),Normal value,Units,567.2037880254117
1996,Net CO2 emissions (emissions minus removals),Normal value,Units,586.7066175120185
1997,Net CO2 emissions (emissions minus removals),Normal value,Units,561.9660112034063
1998,Net CO2 emissions (emissions minus removals),Normal value,Units,566.8484987965911
1999,Net CO2 emissions (emissions minus removals),Normal value,Units,560.2602970118872
2000,Net CO2 emissions (emissions minus removals),Normal value,Units,567.4483963047177
2001,Net CO2 emissions (emissions minus removals),Normal value,Units,576.019891731858
2002,Net CO2 emissions (emissions minus removals),Normal value,Units,557.5702765696625
2003,Net CO2 emissions (emissions minus removals),Normal value,Units,568.8220098180432
2004,Net CO2 emissions (emissions minus removals),Normal value,Units,569.7616442162166
2005,Net CO2 emissions (emissions minus removals),Normal value,Units,566.1569156606569
2006,Net CO2 emissions (emissions minus removals),Normal value,Units,563.2249247570182
2007,Net CO2 emissions (emissions minus removals),Normal value,Units,554.2003933218626
2008,Net CO2 emissions (emissions minus removals),Normal value,Units,539.0751186342801
2009,Net CO2 emissions (emissions minus removals),Normal value,Units,488.3350780732935
2010,Net CO2 emissions (emissions minus removals),Normal value,Units,506.1056342560409
2011,Net CO2 emissions (emissions minus removals),Normal value,Units,463.2779448476148
2012,Net CO2 emissions (emissions minus removals),Normal value,Units,481.2113323885321
2013,Net CO2 emissions (emissions minus removals),Normal value,Units,471.21714675571405
2014,Net CO2 emissions (emissions minus removals),Normal value,Units,432.2183687588042
2015,Net CO2 emissions (emissions minus removals),Normal value,Units,416.2051780193101
2016,Net CO2 emissions (emissions minus removals),Normal value,Units,393.3994350138922
2017,Net CO2 emissions (emissions minus removals),Normal value,Units,381.09884585611087
2018,Net CO2 emissions (emissions minus removals),Normal value,Units,374.0240935135435
2019,Net CO2 emissions (emissions minus removals),Normal value,Units,359.32467777255766
2020,Net CO2 emissions (emissions minus removals),Normal value,Units,321.0876561840149
1990,Methane (CH4),Normal value,Units,134.06653125469967
1991,Methane (CH4),Normal value,Units,134.8220214315324
1992,Methane (CH4),Normal value,Units,134.69350768881526
1993,Methane (CH4),Normal value,Units,133.254072894233
1994,Methane (CH4),Normal value,Units,126.3912110015738
1995,Methane (CH4),Normal value,Units,128.03469472268452
1996,Methane (CH4),Normal value,Units,127.2728423921998
1997,Methane (CH4),Normal value,Units,124.8446025524444
1998,Methane (CH4),Normal value,Units,121.43355414065304
1999,Methane (CH4),Normal value,Units,115.90998288469372
2000,Methane (CH4),Normal value,Units,110.67063682113616
2001,Methane (CH4),Normal value,Units,105.9176027976025
2002,Methane (CH4),Normal value,Units,103.51739136826846
2003,Methane (CH4),Normal value,Units,98.63798174251926
2004,Methane (CH4),Normal value,Units,94.11983056508136
2005,Methane (CH4),Normal value,Units,89.7011421782431
2006,Methane (CH4),Normal value,Units,85.43067160270795
2007,Methane (CH4),Normal value,Units,81.61782186498333
2008,Methane (CH4),Normal value,Units,75.82575642578226
2009,Methane (CH4),Normal value,Units,71.48368592335295
2010,Methane (CH4),Normal value,Units,66.81143975381099
2011,Methane (CH4),Normal value,Units,64.16817215473688
2012,Methane (CH4),Normal value,Units,62.5580509366647
2013,Methane (CH4),Normal value,Units,58.39834165873857
2014,Methane (CH4),Normal value,Units,56.41543553064892
2015,Methane (CH4),Normal value,Units,55.448704285357564
2016,Methane (CH4),Normal value,Units,53.68871843772896
2017,Methane (CH4),Normal value,Units,54.08473262051996
