Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SERIES,UNIT_MEASURE,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",AG_LND_FRST,PT,12.21014
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",AG_LND_FRST,PT,12.64415
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",AG_LND_FRST,PT,13.04096
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",AG_LND_FRST,PT,13.0575
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",AG_LND_FRST,PT,13.07816
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",AG_LND_FRST,PT,13.11536
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",AG_LND_FRST,PT,13.15256
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",AG_LND_FRST,PT,13.18563
2000,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTN,HA,2954.0
2010,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTN,HA,3059.0
2015,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTN,HA,3155.0
2016,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTN,HA,3159.0
2017,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTN,HA,3164.0
2018,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTN,HA,3173.0
2019,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTN,HA,3182.0
2020,3,C,Official Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",AG_LND_FRSTN,HA,3190.0
2000,3,E,,FAO estimate based on FAOSTAT data from 2018,AG_LND_TOTL,HA,24193.0
2010,3,E,,FAO estimate based on FAOSTAT data from 2018,AG_LND_TOTL,HA,24193.0
2015,3,E,,FAO estimate based on FAOSTAT data from 2018,AG_LND_TOTL,HA,24193.0
2016,3,E,,FAO estimate based on FAOSTAT data from 2018,AG_LND_TOTL,HA,24193.0
2017,3,E,,FAO estimate based on FAOSTAT data from 2018,AG_LND_TOTL,HA,24193.0
2018,3,E,,FAO estimate based on FAOSTAT data from 2018,AG_LND_TOTL,HA,24193.0
2019,3,E,,FAO estimate based on FAOSTAT data from 2018,AG_LND_TOTL,HA,24193.0
2020,3,E,,FAO estimate based on FAOSTAT data from 2018,AG_LND_TOTL,HA,24193.0
