Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2000,88.19697,88.19697,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,88.19697
2001,88.19697,88.19697,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,88.19697
2002,88.19697,88.19697,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,88.19697
2003,88.19697,88.19697,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,88.19697
2004,88.19762,88.19762,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,88.19762
2005,89.91778,89.91778,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,89.91778
2006,89.91778,89.91778,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,89.91778
2007,90.0184,90.0184,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,90.0184
2008,90.0184,90.0184,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,90.0184
2009,90.02515,90.02515,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,90.02515
2010,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2011,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2012,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2013,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2014,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2015,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2016,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2017,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2018,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2019,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2020,91.15162,91.15162,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],91.15162,91.15162,91.15162
2000,77.02029,77.01881,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,77.02029
2001,78.79135,78.78987,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,78.79135
2002,79.24432,79.24284,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,79.24432
2003,80.54966,80.54818,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,80.54966
2004,81.38046,81.37898,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,81.38046
2005,83.32763,83.32615,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,83.32763
2006,84.06727,84.06579,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,84.06727
2007,84.0926,84.09112,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,84.0926
2008,84.12355,84.12207,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,84.12355
2009,84.4379,84.4379,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,84.4379
2010,85.78108,85.78108,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,85.78108
2011,85.80697,85.80697,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas [15.1.2],86.3682,86.3682,85.80697
