Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",89.0
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",104.0
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",109.0
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",110.0
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",112.0
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",113.0
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",114.0
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",115.0
2000,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",188.185
2005,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",1606.14
2010,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",1587.478
2015,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",1609.414
2016,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",1599.806
2017,3,E,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,,"Data submitted by FSC and PEFC secretariats (certifying bodies) to FAO, Global Forest Resources Assessment",1610.434
