Year,UNIT_MULT,UPPER_BOUND,LOWER_BOUND,SERIES,SEX,AGE,UNIT_MEASURE,Value
2015,0,4.8,3.0,AG_PRD_FIESMS,,,PT,6.3
2016,0,4.8,3.0,AG_PRD_FIESMS,,,PT,6.1
2017,0,4.8,3.0,AG_PRD_FIESMS,,,PT,5.6
2018,0,4.8,3.0,AG_PRD_FIESMS,,,PT,4.9
2019,0,4.8,3.0,AG_PRD_FIESMS,,,PT,3.9
2015,0,4.5,2.3,AG_PRD_FIESMS,F,Y_GE15,PT,7.8
2016,0,4.5,2.3,AG_PRD_FIESMS,F,Y_GE15,PT,6.7
2017,0,4.5,2.3,AG_PRD_FIESMS,F,Y_GE15,PT,5.3
2018,0,4.5,2.3,AG_PRD_FIESMS,F,Y_GE15,PT,3.7
2019,0,4.5,2.3,AG_PRD_FIESMS,F,Y_GE15,PT,3.4
2015,0,5.4,2.9,AG_PRD_FIESMS,M,Y_GE15,PT,2.4
2016,0,5.4,2.9,AG_PRD_FIESMS,M,Y_GE15,PT,3.7
2017,0,5.4,2.9,AG_PRD_FIESMS,M,Y_GE15,PT,4.7
2018,0,5.4,2.9,AG_PRD_FIESMS,M,Y_GE15,PT,5.4
2019,0,5.4,2.9,AG_PRD_FIESMS,M,Y_GE15,PT,4.1
2015,3,320.9,205.6,AG_PRD_FIESMSN,,,NUMBER,414.2
2016,3,320.9,205.6,AG_PRD_FIESMSN,,,NUMBER,406.7
2017,3,320.9,205.6,AG_PRD_FIESMSN,,,NUMBER,374.4
2018,3,320.9,205.6,AG_PRD_FIESMSN,,,NUMBER,329.6
2019,3,320.9,205.6,AG_PRD_FIESMSN,,,NUMBER,263.3
2015,3,127.2,64.7,AG_PRD_FIESMSN,F,Y_GE15,NUMBER,217.1
2016,3,127.2,64.7,AG_PRD_FIESMSN,F,Y_GE15,NUMBER,186.8
2017,3,127.2,64.7,AG_PRD_FIESMSN,F,Y_GE15,NUMBER,148.3
2018,3,127.2,64.7,AG_PRD_FIESMSN,F,Y_GE15,NUMBER,105.7
2019,3,127.2,64.7,AG_PRD_FIESMSN,F,Y_GE15,NUMBER,95.9
2015,3,147.5,78.2,AG_PRD_FIESMSN,M,Y_GE15,NUMBER,64.8
2016,3,147.5,78.2,AG_PRD_FIESMSN,M,Y_GE15,NUMBER,99.2
2017,3,147.5,78.2,AG_PRD_FIESMSN,M,Y_GE15,NUMBER,125.2
2018,3,147.5,78.2,AG_PRD_FIESMSN,M,Y_GE15,NUMBER,145.8
2019,3,147.5,78.2,AG_PRD_FIESMSN,M,Y_GE15,NUMBER,112.8
2015,0,1.1,0.3,AG_PRD_FIESS,,,PT,1.9
2016,0,1.1,0.3,AG_PRD_FIESS,,,PT,2.1
2017,0,1.1,0.3,AG_PRD_FIESS,,,PT,1.7
2018,0,1.1,0.3,AG_PRD_FIESS,,,PT,1.3
2019,0,1.1,0.3,AG_PRD_FIESS,,,PT,0.7
2015,0,1.1,0.0,AG_PRD_FIESS,F,Y_GE15,PT,2.4
2016,0,1.1,0.0,AG_PRD_FIESS,F,Y_GE15,PT,2.1
2017,0,1.1,0.0,AG_PRD_FIESS,F,Y_GE15,PT,1.4
2018,0,1.1,0.0,AG_PRD_FIESS,F,Y_GE15,PT,0.7
2019,0,1.1,0.0,AG_PRD_FIESS,F,Y_GE15,PT,0.6
2015,0,1.5,0.2,AG_PRD_FIESS,M,Y_GE15,PT,0.6
2016,0,1.5,0.2,AG_PRD_FIESS,M,Y_GE15,PT,1.4
2017,0,1.5,0.2,AG_PRD_FIESS,M,Y_GE15,PT,1.5
2018,0,1.5,0.2,AG_PRD_FIESS,M,Y_GE15,PT,1.6
2019,0,1.5,0.2,AG_PRD_FIESS,M,Y_GE15,PT,0.9
2015,3,77.1,20.9,AG_PRD_FIESSN,,,NUMBER,122.5
2016,3,77.1,20.9,AG_PRD_FIESSN,,,NUMBER,139.6
2017,3,77.1,20.9,AG_PRD_FIESSN,,,NUMBER,114.2
2018,3,77.1,20.9,AG_PRD_FIESSN,,,NUMBER,86.2
2019,3,77.1,20.9,AG_PRD_FIESSN,,,NUMBER,49.0
2015,3,30.4,1.4,AG_PRD_FIESSN,F,Y_GE15,NUMBER,67.7
2016,3,30.4,1.4,AG_PRD_FIESSN,F,Y_GE15,NUMBER,58.9
2017,3,30.4,1.4,AG_PRD_FIESSN,F,Y_GE15,NUMBER,39.8
2018,3,30.4,1.4,AG_PRD_FIESSN,F,Y_GE15,NUMBER,19.9
2019,3,30.4,1.4,AG_PRD_FIESSN,F,Y_GE15,NUMBER,15.9
2015,3,41.9,6.5,AG_PRD_FIESSN,M,Y_GE15,NUMBER,17.0
2016,3,41.9,6.5,AG_PRD_FIESSN,M,Y_GE15,NUMBER,37.5
2017,3,41.9,6.5,AG_PRD_FIESSN,M,Y_GE15,NUMBER,40.9
2018,3,41.9,6.5,AG_PRD_FIESSN,M,Y_GE15,NUMBER,42.9
2019,3,41.9,6.5,AG_PRD_FIESSN,M,Y_GE15,NUMBER,24.2
