Year,UPPER_BOUND,LOWER_BOUND,SDG Series,Upper bound value,Lower bound value,Value
2000,11.3,7.8,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.4
2001,11.1,7.7,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.2
2002,11.0,7.5,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.1
2003,11.0,7.4,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.0
2004,11.0,7.3,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.0
2005,11.1,7.3,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.0
2006,11.1,7.3,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.0
2007,11.2,7.3,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.0
2008,11.3,7.3,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.1
2009,11.5,7.3,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.1
2010,11.7,7.4,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.2
2011,11.8,7.4,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.3
2012,12.0,7.5,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.4
2013,12.3,7.5,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.5
2014,12.6,7.5,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.7
2015,13.1,7.4,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,9.9
2016,14.0,7.4,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,10.1
2017,15.0,7.4,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,10.4
2018,16.2,7.3,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,10.7
2019,17.8,7.1,Proportion of women aged 15-49 years with anaemia [2.2.3],17.8,7.1,11.1
2000,11.0,7.6,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,9.2
2001,10.9,7.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,9.0
2002,10.8,7.4,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,8.9
2003,10.8,7.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,8.8
2004,10.8,7.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,8.8
2005,10.9,7.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,8.8
2006,10.9,7.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,8.8
2007,11.0,7.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,8.8
2008,11.1,7.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,8.9
2009,11.3,7.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,8.9
2010,11.5,7.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,9.0
2011,11.7,7.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,9.1
2012,11.8,7.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,9.2
2013,12.1,7.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,9.3
2014,12.4,7.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,9.5
2015,13.0,7.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,9.7
2016,13.9,7.3,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,9.9
2017,14.9,7.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,10.2
2018,16.3,7.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,10.5
2019,17.7,6.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",17.7,6.9,10.9
2000,29.1,8.3,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,16.0
2001,28.4,8.2,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.7
2002,27.9,8.2,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.4
2003,27.5,8.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.2
2004,27.0,8.0,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.1
2005,26.5,8.0,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.0
2006,26.4,8.0,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,14.9
2007,26.4,8.0,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,14.9
2008,26.3,8.0,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,14.9
2009,26.1,8.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,14.9
2010,26.4,8.0,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.0
2011,26.7,8.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.1
2012,27.0,8.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.2
2013,27.4,8.1,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.2
2014,27.9,8.0,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.4
2015,28.4,8.0,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.5
2016,29.2,7.9,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,15.8
2017,30.4,7.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,16.0
2018,31.3,7.8,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,16.2
2019,33.0,7.6,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",33.0,7.6,16.5
