Year,UPPER_BOUND,LOWER_BOUND,SERIES,SEX,AGE,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2000,164158,124137,SH_DTH_NCD,,,NCD_CARDIO,NUMBER,237066.0
2005,164158,124137,SH_DTH_NCD,,,NCD_CARDIO,NUMBER,210326.0
2010,164158,124137,SH_DTH_NCD,,,NCD_CARDIO,NUMBER,182175.0
2015,164158,124137,SH_DTH_NCD,,,NCD_CARDIO,NUMBER,164973.0
2019,164158,124137,SH_DTH_NCD,,,NCD_CARDIO,NUMBER,145839.0
2000,183170,144517,SH_DTH_NCD,,,NCD_CNCR,NUMBER,152947.0
2005,183170,144517,SH_DTH_NCD,,,NCD_CNCR,NUMBER,155782.0
2010,183170,144517,SH_DTH_NCD,,,NCD_CNCR,NUMBER,162370.0
2015,183170,144517,SH_DTH_NCD,,,NCD_CNCR,NUMBER,170869.0
2019,183170,144517,SH_DTH_NCD,,,NCD_CNCR,NUMBER,165704.0
2000,54813,34317,SH_DTH_NCD,,,NCD_CRESPD,NUMBER,43438.0
2005,54813,34317,SH_DTH_NCD,,,NCD_CRESPD,NUMBER,48128.0
2010,54813,34317,SH_DTH_NCD,,,NCD_CRESPD,NUMBER,48159.0
2015,54813,34317,SH_DTH_NCD,,,NCD_CRESPD,NUMBER,51590.0
2019,54813,34317,SH_DTH_NCD,,,NCD_CRESPD,NUMBER,46766.0
2000,8622,5838,SH_DTH_NCD,,,NCD_DIABTS,NUMBER,6558.0
2005,8622,5838,SH_DTH_NCD,,,NCD_DIABTS,NUMBER,6747.0
2010,8622,5838,SH_DTH_NCD,,,NCD_DIABTS,NUMBER,6375.0
2015,8622,5838,SH_DTH_NCD,,,NCD_DIABTS,NUMBER,6904.0
2019,8622,5838,SH_DTH_NCD,,,NCD_DIABTS,NUMBER,7181.0
2000,78942,56835,SH_DTH_NCD,F,,NCD_CARDIO,NUMBER,123690.0
2005,78942,56835,SH_DTH_NCD,F,,NCD_CARDIO,NUMBER,110866.0
2010,78942,56835,SH_DTH_NCD,F,,NCD_CARDIO,NUMBER,93452.0
2015,78942,56835,SH_DTH_NCD,F,,NCD_CARDIO,NUMBER,81895.0
2019,78942,56835,SH_DTH_NCD,F,,NCD_CARDIO,NUMBER,69277.0
2000,84396,66574,SH_DTH_NCD,F,,NCD_CNCR,NUMBER,74223.0
2005,84396,66574,SH_DTH_NCD,F,,NCD_CNCR,NUMBER,75266.0
2010,84396,66574,SH_DTH_NCD,F,,NCD_CNCR,NUMBER,77047.0
2015,84396,66574,SH_DTH_NCD,F,,NCD_CNCR,NUMBER,79906.0
2019,84396,66574,SH_DTH_NCD,F,,NCD_CNCR,NUMBER,76721.0
2000,26023,14247,SH_DTH_NCD,F,,NCD_CRESPD,NUMBER,20984.0
2005,26023,14247,SH_DTH_NCD,F,,NCD_CRESPD,NUMBER,24400.0
2010,26023,14247,SH_DTH_NCD,F,,NCD_CRESPD,NUMBER,24099.0
2015,26023,14247,SH_DTH_NCD,F,,NCD_CRESPD,NUMBER,25289.0
2019,26023,14247,SH_DTH_NCD,F,,NCD_CRESPD,NUMBER,22139.0
