Year,SERIES,SEX,OCCUPATION,UNIT_MEASURE,Value
2000,SH_MED_DEN,,ISCO08_221,PER_10000_POP,39.672
2001,SH_MED_DEN,,ISCO08_221,PER_10000_POP,40.679
2002,SH_MED_DEN,,ISCO08_221,PER_10000_POP,42.168
2003,SH_MED_DEN,,ISCO08_221,PER_10000_POP,43.967
2004,SH_MED_DEN,,ISCO08_221,PER_10000_POP,46.605
2005,SH_MED_DEN,,ISCO08_221,PER_10000_POP,48.134
2006,SH_MED_DEN,,ISCO08_221,PER_10000_POP,49.087
2007,SH_MED_DEN,,ISCO08_221,PER_10000_POP,49.607
2008,SH_MED_DEN,,ISCO08_221,PER_10000_POP,51.063
2009,SH_MED_DEN,,ISCO08_221,PER_10000_POP,52.479
2010,SH_MED_DEN,,ISCO08_221,PER_10000_POP,52.462
2011,SH_MED_DEN,,ISCO08_221,PER_10000_POP,53.144
2012,SH_MED_DEN,,ISCO08_221,PER_10000_POP,53.284
2013,SH_MED_DEN,,ISCO08_221,PER_10000_POP,53.546
2014,SH_MED_DEN,,ISCO08_221,PER_10000_POP,54.258
2015,SH_MED_DEN,,ISCO08_221,PER_10000_POP,54.864
2016,SH_MED_DEN,,ISCO08_221,PER_10000_POP,55.095
2017,SH_MED_DEN,,ISCO08_221,PER_10000_POP,55.691
2018,SH_MED_DEN,,ISCO08_221,PER_10000_POP,56.162
2019,SH_MED_DEN,,ISCO08_221,PER_10000_POP,58.233
2000,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,107.638
2001,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,110.023
2002,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,113.479
2003,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,116.214
2004,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,117.619
2005,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,118.7
2006,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,115.7
2007,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,110.266
2008,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,109.344
2009,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,106.783
2010,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,104.991
2011,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,101.724
2012,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,98.189
2013,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,97.978
2014,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,97.76
2015,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,97.357
2016,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,82.751
2017,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,82.245
2018,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,81.723
2019,SH_MED_DEN,,ISCO08_222_322,PER_10000_POP,102.922
2007,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,4.792
2008,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,4.927
2009,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,4.997
2010,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.09
2011,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.189
2012,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.156
2013,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.182
2014,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.25
2015,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.257
2016,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.259
2017,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.209
2018,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.213
2019,SH_MED_DEN,,ISCO08_2261,PER_10000_POP,5.267
2002,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,5.893
2003,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,6.028
2004,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,6.143
2005,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,6.049
2006,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,6.2
2007,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,6.205
2008,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,6.262
2009,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,6.31
2010,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,6.404
2011,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,7.504
2012,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,7.707
2013,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,7.897
2014,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,8.141
2015,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,8.257
2016,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,8.528
2017,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,8.741
2018,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,8.892
2019,SH_MED_DEN,,ISCO08_2262,PER_10000_POP,8.684
2000,SH_MED_HWRKDIS,F,ISCO08_221,PT,36.214
2001,SH_MED_HWRKDIS,F,ISCO08_221,PT,36.582
2002,SH_MED_HWRKDIS,F,ISCO08_221,PT,37.241
2003,SH_MED_HWRKDIS,F,ISCO08_221,PT,37.711
2004,SH_MED_HWRKDIS,F,ISCO08_221,PT,38.145
2005,SH_MED_HWRKDIS,F,ISCO08_221,PT,38.755
2006,SH_MED_HWRKDIS,F,ISCO08_221,PT,39.8
2007,SH_MED_HWRKDIS,F,ISCO08_221,PT,40.865
2008,SH_MED_HWRKDIS,F,ISCO08_221,PT,42.107
2009,SH_MED_HWRKDIS,F,ISCO08_221,PT,42.975
2010,SH_MED_HWRKDIS,F,ISCO08_221,PT,43.749
2011,SH_MED_HWRKDIS,F,ISCO08_221,PT,44.653
2012,SH_MED_HWRKDIS,F,ISCO08_221,PT,45.355
2013,SH_MED_HWRKDIS,F,ISCO08_221,PT,46.061
2014,SH_MED_HWRKDIS,F,ISCO08_221,PT,46.841
2015,SH_MED_HWRKDIS,F,ISCO08_221,PT,47.36
2016,SH_MED_HWRKDIS,F,ISCO08_221,PT,47.653
2018,SH_MED_HWRKDIS,F,ISCO08_221,PT,48.626
2019,SH_MED_HWRKDIS,F,ISCO08_221,PT,48.783
2015,SH_MED_HWRKDIS,F,ISCO08_2221_3221,PT,88.731
2016,SH_MED_HWRKDIS,F,ISCO08_2221_3221,PT,88.543
2017,SH_MED_HWRKDIS,F,ISCO08_2221_3221,PT,88.512
2018,SH_MED_HWRKDIS,F,ISCO08_2221_3221,PT,88.62
2000,SH_MED_HWRKDIS,M,ISCO08_221,PT,63.786
2001,SH_MED_HWRKDIS,M,ISCO08_221,PT,63.418
2002,SH_MED_HWRKDIS,M,ISCO08_221,PT,62.759
2003,SH_MED_HWRKDIS,M,ISCO08_221,PT,62.289
2004,SH_MED_HWRKDIS,M,ISCO08_221,PT,61.855
2005,SH_MED_HWRKDIS,M,ISCO08_221,PT,61.245
2006,SH_MED_HWRKDIS,M,ISCO08_221,PT,60.2
2007,SH_MED_HWRKDIS,M,ISCO08_221,PT,59.135
2008,SH_MED_HWRKDIS,M,ISCO08_221,PT,57.893
2009,SH_MED_HWRKDIS,M,ISCO08_221,PT,57.025
2010,SH_MED_HWRKDIS,M,ISCO08_221,PT,56.251
2011,SH_MED_HWRKDIS,M,ISCO08_221,PT,55.347
2012,SH_MED_HWRKDIS,M,ISCO08_221,PT,54.645
2013,SH_MED_HWRKDIS,M,ISCO08_221,PT,53.939
2014,SH_MED_HWRKDIS,M,ISCO08_221,PT,53.159
2015,SH_MED_HWRKDIS,M,ISCO08_221,PT,52.64
2016,SH_MED_HWRKDIS,M,ISCO08_221,PT,52.347
2018,SH_MED_HWRKDIS,M,ISCO08_221,PT,51.374
2019,SH_MED_HWRKDIS,M,ISCO08_221,PT,51.217
2015,SH_MED_HWRKDIS,M,ISCO08_2221_3221,PT,11.269
2016,SH_MED_HWRKDIS,M,ISCO08_2221_3221,PT,11.457
2017,SH_MED_HWRKDIS,M,ISCO08_2221_3221,PT,11.488
2018,SH_MED_HWRKDIS,M,ISCO08_2221_3221,PT,11.38
