Year,Skill,Age,Sex,Disability status,Observation status,Unit multiplier,Value
2017,"Changing the settings of any software, including operating system or security programs",,,Non-disabled (GSS harmonised),Normal value,Units,43
2019,"Changing the settings of any software, including operating system or security programs",,,Non-disabled (GSS harmonised),Normal value,Units,40
2015,Copying or moving a file or folder,,,Non-disabled (GSS harmonised),Normal value,Units,62
2017,Copying or moving a file or folder,,,Non-disabled (GSS harmonised),Normal value,Units,67
2019,Copying or moving a file or folder,,,Non-disabled (GSS harmonised),Normal value,Units,62
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Non-disabled (GSS harmonised),Normal value,Units,46
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Non-disabled (GSS harmonised),Normal value,Units,53
2019,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Non-disabled (GSS harmonised),Normal value,Units,51
2017,Installing software or applications,,,Non-disabled (GSS harmonised),Normal value,Units,63
2019,Installing software or applications,,,Non-disabled (GSS harmonised),Normal value,Units,70
2019,Make backup copies of files on external storage devices or internet storage space,,,Non-disabled (GSS harmonised),Normal value,Units,60
2017,Transferring files between computers or other devices,,,Non-disabled (GSS harmonised),Normal value,Units,60
2019,Transferring files between computers or other devices,,,Non-disabled (GSS harmonised),Normal value,Units,55
2015,"Using software to edit photos, video or audio files",,,Non-disabled (GSS harmonised),Normal value,Units,48
2017,"Using software to edit photos, video or audio files",,,Non-disabled (GSS harmonised),Normal value,Units,51
2019,"Using software to edit photos, video or audio files",,,Non-disabled (GSS harmonised),Normal value,Units,48
2015,Using spreadsheet software,,,Non-disabled (GSS harmonised),Normal value,Units,43
2017,Using spreadsheet software,,,Non-disabled (GSS harmonised),Normal value,Units,51
2019,Using spreadsheet software,,,Non-disabled (GSS harmonised),Normal value,Units,51
2015,Using word processing software,,,Non-disabled (GSS harmonised),Normal value,Units,61
2017,Using word processing software,,,Non-disabled (GSS harmonised),Normal value,Units,65
2019,Using word processing software,,,Non-disabled (GSS harmonised),Normal value,Units,69
2015,Writing computer code using a programming language,,,Non-disabled (GSS harmonised),Normal value,Units,7
2017,Writing computer code using a programming language,,,Non-disabled (GSS harmonised),Normal value,Units,11
2019,Writing computer code using a programming language,,,Non-disabled (GSS harmonised),Normal value,Units,10
2017,"Changing the settings of any software, including operating system or security programs",,,Disabled (GSS harmonised),Normal value,Units,28
2019,"Changing the settings of any software, including operating system or security programs",,,Disabled (GSS harmonised),Normal value,Units,31
2015,Copying or moving a file or folder,,,Disabled (GSS harmonised),Normal value,Units,42
2017,Copying or moving a file or folder,,,Disabled (GSS harmonised),Normal value,Units,43
2019,Copying or moving a file or folder,,,Disabled (GSS harmonised),Normal value,Units,46
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Disabled (GSS harmonised),Normal value,Units,26
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Disabled (GSS harmonised),Normal value,Units,27
2019,"Creating presentations or documents containing or integrating pictures, tables or charts",,,Disabled (GSS harmonised),Normal value,Units,32
2017,Installing software or applications,,,Disabled (GSS harmonised),Normal value,Units,43
2019,Installing software or applications,,,Disabled (GSS harmonised),Normal value,Units,54
2019,Make backup copies of files on external storage devices or internet storage space,,,Disabled (GSS harmonised),Normal value,Units,46
2017,Transferring files between computers or other devices,,,Disabled (GSS harmonised),Normal value,Units,33
2019,Transferring files between computers or other devices,,,Disabled (GSS harmonised),Normal value,Units,43
2015,"Using software to edit photos, video or audio files",,,Disabled (GSS harmonised),Normal value,Units,31
2017,"Using software to edit photos, video or audio files",,,Disabled (GSS harmonised),Normal value,Units,31
2019,"Using software to edit photos, video or audio files",,,Disabled (GSS harmonised),Normal value,Units,40
2015,Using spreadsheet software,,,Disabled (GSS harmonised),Normal value,Units,25
2017,Using spreadsheet software,,,Disabled (GSS harmonised),Normal value,Units,26
2019,Using spreadsheet software,,,Disabled (GSS harmonised),Normal value,Units,34
2015,Using word processing software,,,Disabled (GSS harmonised),Normal value,Units,39
2017,Using word processing software,,,Disabled (GSS harmonised),Normal value,Units,43
2019,Using word processing software,,,Disabled (GSS harmonised),Normal value,Units,51
2015,Writing computer code using a programming language,,,Disabled (GSS harmonised),Normal value,Units,5
2017,Writing computer code using a programming language,,,Disabled (GSS harmonised),Normal value,Units,4
2019,Writing computer code using a programming language,,,Disabled (GSS harmonised),Normal value,Units,7
2017,"Changing the settings of any software, including operating system or security programs",,Female,,Normal value,Units,31
2019,"Changing the settings of any software, including operating system or security programs",,Female,,Normal value,Units,28
2015,Copying or moving a file or folder,,Female,,Normal value,Units,54
2017,Copying or moving a file or folder,,Female,,Normal value,Units,56
2019,Copying or moving a file or folder,,Female,,Normal value,Units,52
2015,"Creating presentations or documents containing or integrating pictures, tables or charts",,Female,,Normal value,Units,38
2017,"Creating presentations or documents containing or integrating pictures, tables or charts",,Female,,Normal value,Units,42
2019,"Creating presentations or documents containing or integrating pictures, tables or charts",,Female,,Normal value,Units,44
2017,Installing software or applications,,Female,,Normal value,Units,52
2019,Installing software or applications,,Female,,Normal value,Units,59
2019,Make backup copies of files on external storage devices or internet storage space,,Female,,Normal value,Units,51
2017,Transferring files between computers or other devices,,Female,,Normal value,Units,46
