Year,COMMENT_OBS,SERIES,SEX,AGE,Value
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y_GE15,14.83477
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y_GE15,12.65278
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y_GE65,15.48908
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y_GE65,13.56408
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y15T24,7.11165
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y15T24,5.70642
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y25T44,17.23488
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y25T44,15.28516
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y45T54,14.90383
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y45T54,11.81233
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y55T64,16.16135
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,F,Y55T64,12.85204
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y_GE15,8.14504
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y_GE15,6.96528
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y_GE65,11.59789
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y_GE65,10.41041
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y15T24,2.77266
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y15T24,2.41965
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y25T44,8.33565
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y25T44,6.86988
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y45T54,8.15256
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y45T54,6.61347
2001,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y55T64,9.65019
2015,Travel related to unpaid domestic and care work is not included.,SL_DOM_TSPD,M,Y55T64,7.50078
2001,Travel related to unpaid care work is not included.,SL_DOM_TSPDCW,F,Y_GE15,3.26808
2015,Travel related to unpaid care work is not included.,SL_DOM_TSPDCW,F,Y_GE15,2.86806
2001,Travel related to unpaid care work is not included.,SL_DOM_TSPDCW,F,Y_GE65,0.71785
2015,Travel related to unpaid care work is not included.,SL_DOM_TSPDCW,F,Y_GE65,0.79613
2001,Travel related to unpaid care work is not included.,SL_DOM_TSPDCW,F,Y15T24,2.58424
2015,Travel related to unpaid care work is not included.,SL_DOM_TSPDCW,F,Y15T24,1.64399
2001,Travel related to unpaid care work is not included.,SL_DOM_TSPDCW,F,Y25T44,6.02911
2015,Travel related to unpaid care work is not included.,SL_DOM_TSPDCW,F,Y25T44,6.21055
