Year,SERIES,COMMENT_OBS,Value
2019,SH_LGR_ACSRHE,,92
2019,SH_LGR_ACSRHEC1,,100
2019,SH_LGR_ACSRHEC10,,100
2019,SH_LGR_ACSRHEC11,,100
2019,SH_LGR_ACSRHEC12,,100
2019,SH_LGR_ACSRHEC13,,100
2019,SH_LGR_ACSRHEC2,,100
2019,SH_LGR_ACSRHEC3,Obs_Value = 0;  ,0
2019,SH_LGR_ACSRHEC4,,100
2019,SH_LGR_ACSRHEC5,,100
2019,SH_LGR_ACSRHEC6,,100
2019,SH_LGR_ACSRHEC7,,100
2019,SH_LGR_ACSRHEC8,,100
2019,SH_LGR_ACSRHEC9,,100
2019,SH_LGR_ACSRHES1,,75
2019,SH_LGR_ACSRHES2,,100
2019,SH_LGR_ACSRHES3,,100
2019,SH_LGR_ACSRHES4,,100
