Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2017,A,0,G,EN_LKW_QLTRB,DL_EXTREME,PT,19.90688
2018,A,0,G,EN_LKW_QLTRB,DL_EXTREME,PT,18.86251
2019,A,0,G,EN_LKW_QLTRB,DL_EXTREME,PT,26.42781
2020,A,0,G,EN_LKW_QLTRB,DL_EXTREME,PT,24.31356
2017,A,0,G,EN_LKW_QLTRB,DL_HIGH,PT,11.22503
2018,A,0,G,EN_LKW_QLTRB,DL_HIGH,PT,11.06047
2019,A,0,G,EN_LKW_QLTRB,DL_HIGH,PT,13.94188
2020,A,0,G,EN_LKW_QLTRB,DL_HIGH,PT,14.95649
2017,A,0,G,EN_LKW_QLTRB,DL_LOW,PT,60.03593
2018,A,0,G,EN_LKW_QLTRB,DL_LOW,PT,59.70662
2019,A,0,G,EN_LKW_QLTRB,DL_LOW,PT,49.34413
2020,A,0,G,EN_LKW_QLTRB,DL_LOW,PT,49.40606
2017,A,0,G,EN_LKW_QLTRB,DL_MEDIUM,PT,8.83216
2018,A,0,G,EN_LKW_QLTRB,DL_MEDIUM,PT,10.3704
2019,A,0,G,EN_LKW_QLTRB,DL_MEDIUM,PT,10.28618
2020,A,0,G,EN_LKW_QLTRB,DL_MEDIUM,PT,11.32389
