Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,URBANISATION,UNIT_MEASURE,Value
2000,A,0,G,EG_ACS_ELEC,,PT,100
2001,A,0,G,EG_ACS_ELEC,,PT,100
2002,A,0,G,EG_ACS_ELEC,,PT,100
2003,A,0,G,EG_ACS_ELEC,,PT,100
2004,A,0,G,EG_ACS_ELEC,,PT,100
2005,A,0,G,EG_ACS_ELEC,,PT,100
2006,A,0,G,EG_ACS_ELEC,,PT,100
2007,A,0,G,EG_ACS_ELEC,,PT,100
2008,A,0,G,EG_ACS_ELEC,,PT,100
2009,A,0,G,EG_ACS_ELEC,,PT,100
2010,A,0,G,EG_ACS_ELEC,,PT,100
2011,A,0,G,EG_ACS_ELEC,,PT,100
2012,A,0,G,EG_ACS_ELEC,,PT,100
2013,A,0,G,EG_ACS_ELEC,,PT,100
2014,A,0,G,EG_ACS_ELEC,,PT,100
2015,A,0,G,EG_ACS_ELEC,,PT,100
2016,A,0,G,EG_ACS_ELEC,,PT,100
2017,A,0,G,EG_ACS_ELEC,,PT,100
2018,A,0,G,EG_ACS_ELEC,,PT,100
2019,A,0,G,EG_ACS_ELEC,,PT,100
2020,A,0,G,EG_ACS_ELEC,,PT,100
2000,A,0,G,EG_ACS_ELEC,R,PT,100
2001,A,0,G,EG_ACS_ELEC,R,PT,100
2002,A,0,G,EG_ACS_ELEC,R,PT,100
2003,A,0,G,EG_ACS_ELEC,R,PT,100
2004,A,0,G,EG_ACS_ELEC,R,PT,100
2005,A,0,G,EG_ACS_ELEC,R,PT,100
2006,A,0,G,EG_ACS_ELEC,R,PT,100
2007,A,0,G,EG_ACS_ELEC,R,PT,100
2008,A,0,G,EG_ACS_ELEC,R,PT,100
2009,A,0,G,EG_ACS_ELEC,R,PT,100
2010,A,0,G,EG_ACS_ELEC,R,PT,100
2011,A,0,G,EG_ACS_ELEC,R,PT,100
2012,A,0,G,EG_ACS_ELEC,R,PT,100
2013,A,0,G,EG_ACS_ELEC,R,PT,100
2014,A,0,G,EG_ACS_ELEC,R,PT,100
2015,A,0,G,EG_ACS_ELEC,R,PT,100
2016,A,0,G,EG_ACS_ELEC,R,PT,100
2017,A,0,G,EG_ACS_ELEC,R,PT,100
2018,A,0,G,EG_ACS_ELEC,R,PT,100
2019,A,0,G,EG_ACS_ELEC,R,PT,100
2020,A,0,G,EG_ACS_ELEC,R,PT,100
2000,A,0,G,EG_ACS_ELEC,U,PT,100
2001,A,0,G,EG_ACS_ELEC,U,PT,100
2002,A,0,G,EG_ACS_ELEC,U,PT,100
2003,A,0,G,EG_ACS_ELEC,U,PT,100
2004,A,0,G,EG_ACS_ELEC,U,PT,100
2005,A,0,G,EG_ACS_ELEC,U,PT,100
2006,A,0,G,EG_ACS_ELEC,U,PT,100
2007,A,0,G,EG_ACS_ELEC,U,PT,100
2008,A,0,G,EG_ACS_ELEC,U,PT,100
2009,A,0,G,EG_ACS_ELEC,U,PT,100
2010,A,0,G,EG_ACS_ELEC,U,PT,100
2011,A,0,G,EG_ACS_ELEC,U,PT,100
2012,A,0,G,EG_ACS_ELEC,U,PT,100
2013,A,0,G,EG_ACS_ELEC,U,PT,100
2014,A,0,G,EG_ACS_ELEC,U,PT,100
2015,A,0,G,EG_ACS_ELEC,U,PT,100
2016,A,0,G,EG_ACS_ELEC,U,PT,100
2017,A,0,G,EG_ACS_ELEC,U,PT,100
2018,A,0,G,EG_ACS_ELEC,U,PT,100
2019,A,0,G,EG_ACS_ELEC,U,PT,100
2020,A,0,G,EG_ACS_ELEC,U,PT,100
