Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,PRODUCT,UNIT_MEASURE,BASE_PER,Value
2000,A,0,G,EN_MAT_DOMCMPC,,T,,13.66576
2001,A,0,G,EN_MAT_DOMCMPC,,T,,13.75163
2002,A,0,G,EN_MAT_DOMCMPC,,T,,13.30561
2003,A,0,G,EN_MAT_DOMCMPC,,T,,13.06867
2004,A,0,G,EN_MAT_DOMCMPC,,T,,13.48239
2005,A,0,G,EN_MAT_DOMCMPC,,T,,13.15461
2006,A,0,G,EN_MAT_DOMCMPC,,T,,12.99372
2007,A,0,G,EN_MAT_DOMCMPC,,T,,12.63189
2008,A,0,G,EN_MAT_DOMCMPC,,T,,11.8959
2009,A,0,G,EN_MAT_DOMCMPC,,T,,10.2246
2010,A,0,G,EN_MAT_DOMCMPC,,T,,9.8744
2011,A,0,G,EN_MAT_DOMCMPC,,T,,9.98363
2012,A,0,G,EN_MAT_DOMCMPC,,T,,9.50886
2013,A,0,G,EN_MAT_DOMCMPC,,T,,9.57251
2014,A,0,G,EN_MAT_DOMCMPC,,T,,10.65636
2015,A,0,G,EN_MAT_DOMCMPC,,T,,10.53961
2016,A,0,G,EN_MAT_DOMCMPC,,T,,10.42176
2017,A,0,G,EN_MAT_DOMCMPC,,T,,10.44107
2018,A,0,G,EN_MAT_DOMCMPC,,T,,10.40221
2019,A,0,G,EN_MAT_DOMCMPC,,T,,10.12325
2000,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,6.16159
2001,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,6.31768
2002,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.95155
2003,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.80218
2004,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,6.03816
2005,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.78878
2006,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.77124
2007,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.75546
2008,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.01479
2009,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.962
2010,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.71526
2011,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.826
2012,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.4367
2013,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,3.4002
2014,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,4.66393
2015,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.02546
2016,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.25739
2017,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.22677
2018,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.28728
2019,A,0,G,EN_MAT_DOMCMPC,MF_AGG3A,T,,5.25081
2000,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.29296
2001,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.29013
2002,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.29509
2003,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.28921
2004,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.2803
2005,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.2874
2006,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.29214
2007,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.27287
2008,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.25669
2009,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.23922
2010,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.277
2011,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.34018
2012,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.31833
2013,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.33363
2014,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.29971
2015,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.23574
2016,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.23011
2017,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.1751
2018,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.19595
2019,A,0,G,EN_MAT_DOMCMPC,MF_AGG3B,T,,0.18757
2000,A,0,G,EN_MAT_DOMCMPC,MF1,T,,3.09587
2001,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.91629
2002,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.98074
2003,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.8883
2004,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.91838
2005,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.90933
2006,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.81181
2007,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.70623
2008,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.77472
2009,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.64226
2010,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.5744
2011,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.59919
2012,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.53044
2013,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.68425
2014,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.82396
2015,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.80303
2016,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.68915
2017,A,0,G,EN_MAT_DOMCMPC,MF1,T,,2.86145
