Year,BASE_PER,SERIES,UNIT_MEASURE,Value
2000,2015,NV_IND_MANF,PT,12.7
2001,2015,NV_IND_MANF,PT,12.15
2002,2015,NV_IND_MANF,PT,11.6
2003,2015,NV_IND_MANF,PT,11.18
2004,2015,NV_IND_MANF,PT,11.16
2005,2015,NV_IND_MANF,PT,10.81
2006,2015,NV_IND_MANF,PT,10.79
2007,2015,NV_IND_MANF,PT,10.59
2008,2015,NV_IND_MANF,PT,10.33
2009,2015,NV_IND_MANF,PT,9.85
2010,2015,NV_IND_MANF,PT,10.11
2011,2015,NV_IND_MANF,PT,10.19
2012,2015,NV_IND_MANF,PT,9.93
2013,2015,NV_IND_MANF,PT,9.61
2014,2015,NV_IND_MANF,PT,9.62
2015,2015,NV_IND_MANF,PT,9.35
2016,2015,NV_IND_MANF,PT,9.23
2017,2015,NV_IND_MANF,PT,9.24
2018,2015,NV_IND_MANF,PT,9.28
2019,2015,NV_IND_MANF,PT,9.0
2020,2015,NV_IND_MANF,PT,8.61
2000,,NV_IND_MANF_CD,PT,13.43
2001,,NV_IND_MANF_CD,PT,12.56
2002,,NV_IND_MANF_CD,PT,12.25
2003,,NV_IND_MANF_CD,PT,11.71
2004,,NV_IND_MANF_CD,PT,11.08
2005,,NV_IND_MANF_CD,PT,10.59
2006,,NV_IND_MANF_CD,PT,10.22
2007,,NV_IND_MANF_CD,PT,9.68
2008,,NV_IND_MANF_CD,PT,9.55
2009,,NV_IND_MANF_CD,PT,9.17
2010,,NV_IND_MANF_CD,PT,9.52
2011,,NV_IND_MANF_CD,PT,9.4
2012,,NV_IND_MANF_CD,PT,9.33
2013,,NV_IND_MANF_CD,PT,9.57
2014,,NV_IND_MANF_CD,PT,9.38
2015,,NV_IND_MANF_CD,PT,9.35
2016,,NV_IND_MANF_CD,PT,9.14
2017,,NV_IND_MANF_CD,PT,9.14
2018,,NV_IND_MANF_CD,PT,8.95
2019,,NV_IND_MANF_CD,PT,8.69
2000,2015,NV_IND_MANFPC,CON_USD,4870.7
2001,2015,NV_IND_MANFPC,CON_USD,4786.5
2002,2015,NV_IND_MANFPC,CON_USD,4652.2
2003,2015,NV_IND_MANFPC,CON_USD,4617.1
2004,2015,NV_IND_MANFPC,CON_USD,4676.6
2005,2015,NV_IND_MANFPC,CON_USD,4644.4
2006,2015,NV_IND_MANFPC,CON_USD,4718.7
2007,2015,NV_IND_MANFPC,CON_USD,4686.3
2008,2015,NV_IND_MANFPC,CON_USD,4505.6
2009,2015,NV_IND_MANFPC,CON_USD,4074.6
2010,2015,NV_IND_MANFPC,CON_USD,4223.1
2011,2015,NV_IND_MANFPC,CON_USD,4279.8
2012,2015,NV_IND_MANFPC,CON_USD,4199.9
2013,2015,NV_IND_MANFPC,CON_USD,4124.1
2014,2015,NV_IND_MANFPC,CON_USD,4218.7
2015,2015,NV_IND_MANFPC,CON_USD,4160.3
2016,2015,NV_IND_MANFPC,CON_USD,4147.9
2017,2015,NV_IND_MANFPC,CON_USD,4211.2
2018,2015,NV_IND_MANFPC,CON_USD,4244.8
2019,2015,NV_IND_MANFPC,CON_USD,4146.3
2020,2015,NV_IND_MANFPC,CON_USD,3552.5
