Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2000,A,0,G,SG_INT_MBRDEV,IO_ADB,PT,1.6949
2005,A,0,G,SG_INT_MBRDEV,IO_ADB,PT,1.5625
2010,A,0,G,SG_INT_MBRDEV,IO_ADB,PT,1.4925
2015,A,0,G,SG_INT_MBRDEV,IO_ADB,PT,1.4925
2016,A,0,G,SG_INT_MBRDEV,IO_ADB,PT,1.4925
2017,A,0,G,SG_INT_MBRDEV,IO_ADB,PT,1.4925
2018,A,0,G,SG_INT_MBRDEV,IO_ADB,PT,1.4925
2019,A,0,G,SG_INT_MBRDEV,IO_ADB,PT,1.47059
2020,A,0,G,SG_INT_MBRDEV,IO_ADB,PT,1.47058823529412
2000,A,0,G,SG_INT_MBRDEV,IO_AFDB,PT,1.2987
2005,A,0,G,SG_INT_MBRDEV,IO_AFDB,PT,1.2987
2010,A,0,G,SG_INT_MBRDEV,IO_AFDB,PT,1.2987
2014,A,0,G,SG_INT_MBRDEV,IO_AFDB,PT,1.26582
2015,A,0,G,SG_INT_MBRDEV,IO_AFDB,PT,1.25
2016,A,0,G,SG_INT_MBRDEV,IO_AFDB,PT,1.25
2017,A,0,G,SG_INT_MBRDEV,IO_AFDB,PT,1.25
2018,A,0,G,SG_INT_MBRDEV,IO_AFDB,PT,1.25
2019,A,0,G,SG_INT_MBRDEV,IO_AFDB,PT,1.25
2000,A,0,G,SG_INT_MBRDEV,IO_ECOSOC,PT,1.85185
2005,A,0,G,SG_INT_MBRDEV,IO_ECOSOC,PT,1.85185
2010,A,0,G,SG_INT_MBRDEV,IO_ECOSOC,PT,1.85185
2015,A,0,G,SG_INT_MBRDEV,IO_ECOSOC,PT,1.85185
2016,A,0,G,SG_INT_MBRDEV,IO_ECOSOC,PT,1.85185
2017,A,0,G,SG_INT_MBRDEV,IO_ECOSOC,PT,1.85185185185185
2018,A,0,G,SG_INT_MBRDEV,IO_ECOSOC,PT,1.8519
2019,A,0,G,SG_INT_MBRDEV,IO_ECOSOC,PT,1.85185
2021,A,0,G,SG_INT_MBRDEV,IO_ECOSOC,PT,1.85185185185185
2010,A,0,G,SG_INT_MBRDEV,IO_FSB,PT,4.16667
2015,A,0,G,SG_INT_MBRDEV,IO_FSB,PT,4.16667
2016,A,0,G,SG_INT_MBRDEV,IO_FSB,PT,4.16667
2017,A,0,G,SG_INT_MBRDEV,IO_FSB,PT,4.16667
2018,A,0,G,SG_INT_MBRDEV,IO_FSB,PT,4.16667
2019,A,0,G,SG_INT_MBRDEV,IO_FSB,PT,4.16667
2020,A,0,G,SG_INT_MBRDEV,IO_FSB,PT,4.16667
2021,A,0,G,SG_INT_MBRDEV,IO_FSB,PT,4.16666666666667
2000,A,0,G,SG_INT_MBRDEV,IO_IADB,PT,2.17391
2005,A,0,G,SG_INT_MBRDEV,IO_IADB,PT,2.12766
2010,A,0,G,SG_INT_MBRDEV,IO_IADB,PT,2.08333
2015,A,0,G,SG_INT_MBRDEV,IO_IADB,PT,2.08333
2016,A,0,G,SG_INT_MBRDEV,IO_IADB,PT,2.08333
2017,A,0,G,SG_INT_MBRDEV,IO_IADB,PT,2.08333
2018,A,0,G,SG_INT_MBRDEV,IO_IADB,PT,2.08333
2019,A,0,G,SG_INT_MBRDEV,IO_IADB,PT,2.08333
2000,A,0,G,SG_INT_MBRDEV,IO_IBRD,PT,0.54945
2005,A,0,G,SG_INT_MBRDEV,IO_IBRD,PT,0.54348
2010,A,0,G,SG_INT_MBRDEV,IO_IBRD,PT,0.53476
2015,A,0,G,SG_INT_MBRDEV,IO_IBRD,PT,0.53191
2016,A,0,G,SG_INT_MBRDEV,IO_IBRD,PT,0.53191
