Year,PRODUCT,Value
2005,,36.69737
2010,,41.57237
2015,,47.51073
2017,,51.65722
2018,,52.81778
2019,,52.54822
2005,AGG_AGR,27.26939
2010,AGG_AGR,37.47863
2015,AGG_AGR,39.68386
2017,AGG_AGR,44.46362
2018,AGG_AGR,45.52161
2019,AGG_AGR,46.88194
2005,AGG_ARMS,41.90751
2010,AGG_ARMS,44.89796
2015,AGG_ARMS,44.67532
2017,AGG_ARMS,53.24324
2018,AGG_ARMS,54.24658
2019,AGG_ARMS,57.66234
2005,AGG_CLTH,28.24427
2010,AGG_CLTH,32.19747
2015,AGG_CLTH,37.21447
2017,AGG_CLTH,43.71191
2018,AGG_CLTH,45.85823
2019,AGG_CLTH,43.03393
2005,AGG_IND,38.10873
2010,AGG_IND,42.65676
2015,AGG_IND,49.12029
2017,AGG_IND,53.17202
2018,AGG_IND,54.33325
2019,AGG_IND,54.0574
2005,AGG_OIL,54.54545
2010,AGG_OIL,57.14286
2015,AGG_OIL,54.54545
2017,AGG_OIL,80.95238
2018,AGG_OIL,80.95238
2019,AGG_OIL,66.66667
2005,AGG_TXT,33.26368
2010,AGG_TXT,37.96591
2015,AGG_TXT,44.13294
2017,AGG_TXT,48.30628
2018,AGG_TXT,48.96571
2019,AGG_TXT,48.77396
