Year,COMMENT_OBS,SERIES,CUST_BREAKDOWN,CUST_BREAKDOWN_LB,Value
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C04,Afghanistan,9.5771
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C04,Afghanistan,10.34954
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C04,Afghanistan,10.44064
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C04,Afghanistan,9.85659
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C08,Albania,8.57443
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C08,Albania,10.02317
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C08,Albania,8.62522
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C08,Albania,10.55096
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C100,Bulgaria,10.00002
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C100,Bulgaria,9.35523
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C100,Bulgaria,7.7109
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C100,Bulgaria,7.89829
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C144,Sri Lanka,5.12637
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C144,Sri Lanka,5.0389
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C144,Sri Lanka,5.03203
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C144,Sri Lanka,5.29087
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C156,China,6.61364
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C156,China,8.85495
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C156,China,7.63058
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C156,China,8.7324
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C231,Ethiopia,9.42892
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C231,Ethiopia,8.79886
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C231,Ethiopia,8.62765
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C231,Ethiopia,8.83017
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C232,Eritrea,8.80033
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C232,Eritrea,13.11366
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C232,Eritrea,12.21924
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C232,Eritrea,11.3525
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C270,Gambia,12.46131
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C270,Gambia,9.71662
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C270,Gambia,12.67105
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C270,Gambia,13.26285
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C288,Ghana,6.07414
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C288,Ghana,6.01555
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C288,Ghana,5.71583
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C288,Ghana,5.10835
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C356,India,4.18821
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C356,India,4.02775
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C356,India,4.01127
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C356,India,3.65481
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C388,Jamaica,8.07002
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C388,Jamaica,9.05192
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C388,Jamaica,8.56747
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C388,Jamaica,8.85824
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C404,Kenya,6.44315
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C404,Kenya,5.21103
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C404,Kenya,5.95321
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C404,Kenya,5.96043
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C422,Lebanon,14.83535
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C422,Lebanon,14.82614
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C422,Lebanon,12.83274
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C422,Lebanon,11.69903
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C440,Lithuania,6.74309
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C440,Lithuania,6.90961
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C440,Lithuania,6.83036
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C440,Lithuania,6.39292
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C50,Bangladesh,4.55477
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C50,Bangladesh,4.48675
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C50,Bangladesh,5.20275
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C50,Bangladesh,5.10969
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C524,Nepal,5.99368
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C524,Nepal,6.12398
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C524,Nepal,6.84286
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C524,Nepal,6.78926
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C566,Nigeria,8.01291
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C566,Nigeria,4.84922
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C566,Nigeria,5.89516
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C566,Nigeria,6.73966
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C586,Pakistan,4.12417
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C586,Pakistan,3.89728
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C586,Pakistan,4.38934
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C586,Pakistan,4.86524
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C608,Philippines,6.99734
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C608,Philippines,5.8552
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C608,Philippines,5.22973
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C608,Philippines,4.72371
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C616,Poland,5.31171
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C616,Poland,5.69212
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C616,Poland,4.76371
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C616,Poland,4.75339
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C642,Romania,9.39808
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C642,Romania,7.04173
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C642,Romania,6.16375
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C642,Romania,5.69086
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C646,Rwanda,13.04338
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C646,Rwanda,10.05452
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C646,Rwanda,9.93324
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C646,Rwanda,10.08758
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C694,Sierra Leone,7.48717
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C694,Sierra Leone,8.30958
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C694,Sierra Leone,10.35175
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C694,Sierra Leone,11.25876
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C704,Viet Nam,8.31491
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C704,Viet Nam,9.74191
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C704,Viet Nam,7.74698
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C704,Viet Nam,8.39389
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C706,Somalia,7.83798
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C706,Somalia,7.46448
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C706,Somalia,7.01965
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C706,Somalia,8.69676
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C710,South Africa,7.07212
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C710,South Africa,8.45322
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C710,South Africa,8.1655
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C710,South Africa,7.79324
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C716,Zimbabwe,8.03637
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C716,Zimbabwe,7.99592
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C716,Zimbabwe,8.23606
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C716,Zimbabwe,7.23558
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C728,South Sudan,11.03166
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C728,South Sudan,10.9998
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C728,South Sudan,9.43569
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C728,South Sudan,9.2494
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C76,Brazil,6.57066
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C76,Brazil,4.21538
2018,Third quarter of the specified year.,SI_RMT_COST_BC,C76,Brazil,7.04601
2019,Third quarter of the specified year.,SI_RMT_COST_BC,C76,Brazil,7.28393
2016,Third quarter of the specified year.,SI_RMT_COST_BC,C764,Thailand,9.86149
2017,Third quarter of the specified year.,SI_RMT_COST_BC,C764,Thailand,9.90314
