Year,Series,Standard accounting tools,Observation status,Unit multiplier,Value
2008,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,1.0
2009,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2010,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2011,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,3.0
2012,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2013,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2014,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2015,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2016,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2017,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2018,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2019,Number of tables reported,System of environmental and economic accounts tables (SEEA),Normal value,Units,2.0
2008,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2009,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2010,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2011,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2012,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2013,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2014,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2015,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2016,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2017,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2018,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2019,Number of tables reported,Tourism satellite account tables (TSA),Normal value,Units,7.0
2008,Number of tables reported,,Normal value,Units,8.0
2009,Number of tables reported,,Normal value,Units,9.0
2010,Number of tables reported,,Normal value,Units,9.0
2011,Number of tables reported,,Normal value,Units,10.0
2012,Number of tables reported,,Normal value,Units,9.0
2013,Number of tables reported,,Normal value,Units,9.0
2014,Number of tables reported,,Normal value,Units,9.0
2015,Number of tables reported,,Normal value,Units,9.0
2016,Number of tables reported,,Normal value,Units,9.0
2017,Number of tables reported,,Normal value,Units,9.0
2018,Number of tables reported,,Normal value,Units,9.0
2019,Number of tables reported,,Normal value,Units,9.0
