Year,SERIES,UNIT_MEASURE,Value
2005,VC_DSR_MMHN,NUMBER,63.0
2006,VC_DSR_MMHN,NUMBER,50.0
2007,VC_DSR_MMHN,NUMBER,46.0
2008,VC_DSR_MMHN,NUMBER,48.0
2009,VC_DSR_MMHN,NUMBER,70.0
2010,VC_DSR_MMHN,NUMBER,49.0
2011,VC_DSR_MMHN,NUMBER,49.0
2012,VC_DSR_MMHN,NUMBER,45.0
2013,VC_DSR_MMHN,NUMBER,58.0
2014,VC_DSR_MMHN,NUMBER,32.0
2015,VC_DSR_MMHN,NUMBER,80.0
2016,VC_DSR_MMHN,NUMBER,44.0
2017,VC_DSR_MMHN,NUMBER,62.0
2018,VC_DSR_MMHN,NUMBER,88.0
2019,VC_DSR_MMHN,NUMBER,41.0
2005,VC_DSR_MORT,NUMBER,63.0
2006,VC_DSR_MORT,NUMBER,50.0
2007,VC_DSR_MORT,NUMBER,46.0
2008,VC_DSR_MORT,NUMBER,48.0
2009,VC_DSR_MORT,NUMBER,70.0
2010,VC_DSR_MORT,NUMBER,49.0
2011,VC_DSR_MORT,NUMBER,49.0
2012,VC_DSR_MORT,NUMBER,45.0
2013,VC_DSR_MORT,NUMBER,58.0
2014,VC_DSR_MORT,NUMBER,32.0
2015,VC_DSR_MORT,NUMBER,80.0
2016,VC_DSR_MORT,NUMBER,44.0
2017,VC_DSR_MORT,NUMBER,62.0
2018,VC_DSR_MORT,NUMBER,88.0
2019,VC_DSR_MORT,NUMBER,41.0
2005,VC_DSR_MTMP,PER_100000_POP,0.10428
2006,VC_DSR_MTMP,PER_100000_POP,0.08276
2007,VC_DSR_MTMP,PER_100000_POP,0.07502
2008,VC_DSR_MTMP,PER_100000_POP,0.07764
2009,VC_DSR_MTMP,PER_100000_POP,0.11243
2010,VC_DSR_MTMP,PER_100000_POP,0.07808
2011,VC_DSR_MTMP,PER_100000_POP,0.07743
2012,VC_DSR_MTMP,PER_100000_POP,0.07064
2013,VC_DSR_MTMP,PER_100000_POP,0.09048
2014,VC_DSR_MTMP,PER_100000_POP,0.04954
2015,VC_DSR_MTMP,PER_100000_POP,0.12287
2016,VC_DSR_MTMP,PER_100000_POP,0.06702
2017,VC_DSR_MTMP,PER_100000_POP,0.09388
2018,VC_DSR_MTMP,PER_100000_POP,0.13246
2019,VC_DSR_MTMP,PER_100000_POP,0.06138
