Year,COMMENT_OBS,UPPER_BOUND,LOWER_BOUND,CUST_BREAKDOWN,CUST_BREAKDOWN_LB,Value
2010,Mooring Name:  Garron Point Scotland | LATITUDE: 56.963 | LONGITUDE: -2.11,8.164,7.873,C01,Garron Point Scotland,8.082
2011,Mooring Name:  Garron Point Scotland | LATITUDE: 56.963 | LONGITUDE: -2.11,8.164,7.873,C01,Garron Point Scotland,8.029
2012,Mooring Name:  Garron Point Scotland | LATITUDE: 56.963 | LONGITUDE: -2.11,8.164,7.873,C01,Garron Point Scotland,8.047
2013,Mooring Name:  Garron Point Scotland | LATITUDE: 56.963 | LONGITUDE: -2.11,8.164,7.873,C01,Garron Point Scotland,8.018
2010,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,8.087
2011,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,8.007
2012,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,8.07
2013,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,7.997
2014,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,8.058
2015,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,8.129
2016,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,8.064
2017,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,8.066
2018,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,7.949
2019,Mooring Name: WCO E1 | LATITUDE: 50.033 | LONGITUDE: -4.37,8.101,7.886,C02,WCO E1,7.969
2010,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,8.072
2011,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,8.101
2012,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,8.083
2013,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,8.015
2014,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,8.013
2015,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,8.117
2016,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,8.074
2017,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,8.069
2018,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,8.015
2019,Mooring Name:  WCO L4| LATITUDE: 50.250 | LONGITUDE: -4.22,8.153,7.809,C03,WCO L4,7.997
