Year,SOURCE_DETAIL,SDG Series,Composite breakdown,Source details,Value
2000,Asian Development Bank Annual Report 2000,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.6949
2005,Asian Development Bank Annual Report 2005,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.5625
2010,Asian Development Bank Annual Report 2010,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.4925
2015,Asian Development Bank Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.4925
2016,Asian Development Bank Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.4925
2017,Asian Development Bank Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.4925
2018,ADB Financial Report 2018,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.4925
2019,ADB Financial Report 2019,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: Asian Development Bank,ADB Financial Report 2019,1.4925
2000,African Development Bank Group Annual Report 2000,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.2987
2005,African Development Bank Group Annual Report 2005,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.2987
2010,African Development Bank Group Annual Report 2010,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.2987
2014,African Development Bank Group Annual Report 2014,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.26582
2015,African Development Bank Group Annual Report 2015,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
2016,African Development Bank Group Annual Report 2016,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
2017,African Development Bank Group Annual Report 2017,"Proportion of members of developing countries in international organizations, by organization [10.6.1, 16.8.1]",International Organisation: African Development Bank,African Development Bank Group Annual Report 2019,1.25
