Year,Age,Sex,Disability status,Ethnicity,Ethnic group,Employment status,Region,Local Authority,Observation status,Unit multiplier,GeoCode,Value
2013,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,89.6
2014,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,81.9
2015,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,89.5
2016,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,84.4
2017,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,87.4
2018,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,87.9
2019,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,85.3
2020,,,,,,,East Midlands,Derby,Undefined,Units,E06000015,90.4
2013,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,79.0
2014,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,83.9
2015,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,85.8
2016,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,85.5
2017,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,85.8
2018,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,85.0
2019,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,89.6
2020,,,,,,,East Midlands,East Derbyshire,Undefined,Units,,91.7
2013,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,80.6
2014,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,84.1
2015,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,85.7
2016,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,86.3
2017,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,87.1
2018,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,86.7
2019,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,89.7
2020,,,,,,,East Midlands,Leicester,Undefined,Units,E06000016,89.6
2013,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,83.1
2014,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,82.1
2015,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,87.5
2016,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,89.2
2017,,,,,,,East Midlands,Leicestershire CC and Rutland,Undefined,Units,,88.2
