Year,Observation status,Unit multiplier,Value
1959,Undefined,Units,420.058869589
1960,Undefined,Units,476.81368665344553
1961,Undefined,Units,631.2446133009075
1962,Undefined,Units,705.8805966322301
1963,Undefined,Units,770.7046860425576
1964,Undefined,Units,781.3414136573247
1965,Undefined,Units,854.3466423631806
1966,Undefined,Units,911.8999348447252
1967,Undefined,Units,1023.746872426568
1968,Undefined,Units,1189.552776946604
1969,Undefined,Units,1205.6311058369358
1970,Undefined,Units,1794.945686582582
1971,Undefined,Units,2638.606486677276
1972,Undefined,Units,3310.2328975899727
1973,Undefined,Units,3914.5100642580646
1974,Undefined,Units,5307.832020000535
1975,Undefined,Units,5917.059925292482
1976,Undefined,Units,6771.991761724823
1977,Undefined,Units,7652.789231347428
1978,Undefined,Units,8044.722455132886
1979,Undefined,Units,8569.671839548122
1980,Undefined,Units,8952.27252645137
1981,Undefined,Units,9891.448242702763
1982,Undefined,Units,10757.61178490837
1983,Undefined,Units,12211.077584788329
1984,Undefined,Units,13063.222379586185
1985,Undefined,Units,13787.415333125487
1986,Undefined,Units,14457.683276304013
1987,Undefined,Units,14825.171854251064
1988,Undefined,Units,15782.897199236531
1989,Undefined,Units,16842.991520706153
1990,Undefined,Units,18584.401149594683
1991,Undefined,Units,19554.8953565654
1992,Undefined,Units,20822.797581008537
1993,Undefined,Units,21134.6849828494
1994,Undefined,Units,21627.89674662272
1995,Undefined,Units,22468.151170438065
1996,Undefined,Units,23609.602948637224
1997,Undefined,Units,25381.617146908404
1998,Undefined,Units,27476.822536713524
1999,Undefined,Units,29174.290823785734
2000,Undefined,Units,30233.244592296003
2001,Undefined,Units,32810.91065055996
2002,Undefined,Units,36742.84552121843
2003,Undefined,Units,41420.50212121069
2004,Undefined,Units,48563.887092641206
2005,Undefined,Units,57915.69240782908
2006,Undefined,Units,74076.87846525578
2007,Undefined,Units,89304.69739507118
2008,Undefined,Units,100953.31158501448
2009,Undefined,Units,111625.53025834338
2010,Undefined,Units,117077.0010828151
2011,Undefined,Units,120081.71410487306
2012,Undefined,Units,126787.33823662308
2013,Undefined,Units,133286.24799482955
2014,Undefined,Units,140132.67775948194
2015,Undefined,Units,144527.9086778364
2016,Undefined,Units,149218.58228395524
2017,Undefined,Units,153138.2929793188
2018,Undefined,Units,153138.5148274343
