Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,SEX,AGE,UNIT_MEASURE,Value
2000,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,6.5
2001,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,6.4
2002,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,6.3
2003,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,6.2
2004,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,6.1
2005,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,6.0
2006,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,5.9
2007,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,5.8
2008,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,5.6
2009,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,5.4
2010,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,5.2
2011,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,5.0
2012,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,4.8
2013,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,4.7
2014,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,4.5
2015,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,4.5
2016,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,4.4
2017,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,4.4
2018,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,4.3
2019,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,4.3
2020,A,0,G,SH_DYN_MORT,,Y0T4,PER_1000_LIVE_BIRTHS,4.2
