Year,Series,Sex,Unit multiplier,Observation status,Value
2015,Primary education,,Units,Undefined,102.010498047
2016,Primary education,,Units,Undefined,100.882553100586
2017,Primary education,,Units,Undefined,100.122863769531
2018,Primary education,,Units,Undefined,100.597457885742
2017,Lower secondary education,,Units,Undefined,100.895210266113
2018,Lower secondary education,,Units,Undefined,101.393989562988
2018/19,Upper secondary education,Boys,Units,Undefined,61.0
2018/19,Upper secondary education,Girls,Units,Undefined,68.4
2018/19,Upper secondary education,,Units,Undefined,64.6
2017/18,Upper secondary education,Boys,Units,Undefined,60.5
2017/18,Upper secondary education,Girls,Units,Undefined,68.1
2017/18,Upper secondary education,,Units,Undefined,64.2
2016/17,Upper secondary education,Boys,Units,Undefined,60.3
2016/17,Upper secondary education,Girls,Units,Undefined,67.6
2016/17,Upper secondary education,,Units,Undefined,63.9
2015/16,Upper secondary education,Boys,Units,Undefined,59.0
2015/16,Upper secondary education,Girls,Units,Undefined,67.0
2015/16,Upper secondary education,,Units,Undefined,63.0
2014/15,Upper secondary education,Boys,Units,Undefined,55.2
2014/15,Upper secondary education,Girls,Units,Undefined,63.4
2014/15,Upper secondary education,,Units,Undefined,59.2
2013/14,Upper secondary education,Boys,Units,Undefined,54.5
2013/14,Upper secondary education,Girls,Units,Undefined,63.4
2013/14,Upper secondary education,,Units,Undefined,58.9
2012/13,Upper secondary education,Boys,Units,Undefined,56.5
2012/13,Upper secondary education,Girls,Units,Undefined,66.3
2012/13,Upper secondary education,,Units,Undefined,61.3
2011/12,Upper secondary education,Boys,Units,Undefined,54.7
2011/12,Upper secondary education,Girls,Units,Undefined,64.0
2011/12,Upper secondary education,,Units,Undefined,59.3
2010/11,Upper secondary education,Boys,Units,Undefined,55.2
2010/11,Upper secondary education,Girls,Units,Undefined,62.3
2010/11,Upper secondary education,,Units,Undefined,58.7
