Year,SOURCE_DETAIL,SERIES,AGE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,COMMENT_OBS,Value
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AGP_CPRA,,ISCED11_2,,,1.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AGP_CPRA,,ISCED11_2,,,1.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AGP_CPRA,,ISCED11_2,,,1.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AGP_CPRA,,ISCED11_2,,,1.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AGP_CPRA,,ISCED11_3,,,1.02402
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AGP_CPRA,,ISCED11_3,,,1.01034
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AGP_CPRA,,ISCED11_3,,,1.06562
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_ALP_CPLR,,ISCED11_2,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_ALP_CPLR,,ISCED11_2,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_ALP_CPLR,,ISCED11_2,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_ALP_CPLR,,ISCED11_2,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,1.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_ALP_CPLR,,ISCED11_3,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_ALP_CPLR,,ISCED11_3,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.98662
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_ALP_CPLR,,ISCED11_3,,Obs_Value = 0;  This data point is NOT APPLICABLE for the submitting nation.,0.9969
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AWP_CPRA,,ISCED11_2,,,1.0
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AWP_CPRA,,ISCED11_2,,,1.0
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AWP_CPRA,,ISCED11_2,,,1.0
2014,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2014. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AWP_CPRA,,ISCED11_2,,,1.0
2005,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AWP_CPRA,,ISCED11_3,,,0.90689
2011,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AWP_CPRA,,ISCED11_3,,,0.92248
2013,"United Kingdom of Great Britain and Northern Ireland EU-SILC 2013. World Inequality Database on Education (WIDE), June 2019. Data extracted on 13 April 2021.",SE_AWP_CPRA,,ISCED11_3,,,0.94886
2010,Eurostat,SE_GPI_ICTS,,,SKILL_ICTATCH,,0.95059
2011,Eurostat,SE_GPI_ICTS,,,SKILL_ICTATCH,,0.94523
2013,Eurostat,SE_GPI_ICTS,,,SKILL_ICTATCH,,0.93621
