Year,Age,Disability status,Region,Observation status,Unit multiplier,GeoCode,Value
2012,,,,Undefined,Units,,35.7
2013,,,,Undefined,Units,,35.5
2014,,,,Undefined,Units,,36.6
2015,,,,Undefined,Units,,37.3
2016,,,,Undefined,Units,,37.3
2017,,,,Undefined,Units,,37.9
2014,,Disabled (GSS harmonised),,Undefined,Units,,42.3
2015,,Disabled (GSS harmonised),,Undefined,Units,,46.3
2016,,Disabled (GSS harmonised),,Undefined,Units,,44.2
2017,,Disabled (GSS harmonised),,Undefined,Units,,46.6
2014,,Non-disabled (GSS harmonised),,Undefined,Units,,36.2
2015,,Non-disabled (GSS harmonised),,Undefined,Units,,36.8
2016,,Non-disabled (GSS harmonised),,Undefined,Units,,36.9
2017,,Non-disabled (GSS harmonised),,Undefined,Units,,37.1
2012,16 to 24,,,Undefined,Units,,51.5
2013,16 to 24,,,Undefined,Units,,45.7
2014,16 to 24,,,Undefined,Units,,50.9
2015,16 to 24,,,Undefined,Units,,46.9
2016,16 to 24,,,Undefined,Units,,47.3
2017,16 to 24,,,Undefined,Units,,48.3
2012,25 to 34,,,Undefined,Units,,38.6
2013,25 to 34,,,Undefined,Units,,38.7
2014,25 to 34,,,Undefined,Units,,38.0
2015,25 to 34,,,Undefined,Units,,40.7
2016,25 to 34,,,Undefined,Units,,40.2
2017,25 to 34,,,Undefined,Units,,41.0
2012,35 to 44,,,Undefined,Units,,35.1
2013,35 to 44,,,Undefined,Units,,34.4
2014,35 to 44,,,Undefined,Units,,35.4
2015,35 to 44,,,Undefined,Units,,36.0
2016,35 to 44,,,Undefined,Units,,35.4
2017,35 to 44,,,Undefined,Units,,35.9
2012,45 to 54,,,Undefined,Units,,35.6
2013,45 to 54,,,Undefined,Units,,35.0
2014,45 to 54,,,Undefined,Units,,36.5
2015,45 to 54,,,Undefined,Units,,36.9
2016,45 to 54,,,Undefined,Units,,38.5
2017,45 to 54,,,Undefined,Units,,38.4
2012,55 to 64,,,Undefined,Units,,31.4
2013,55 to 64,,,Undefined,Units,,33.4
2014,55 to 64,,,Undefined,Units,,35.3
2015,55 to 64,,,Undefined,Units,,36.5
2016,55 to 64,,,Undefined,Units,,34.9
2017,55 to 64,,,Undefined,Units,,35.8
2012,65 and over,,,Undefined,Units,,32.5
2013,65 and over,,,Undefined,Units,,32.2
2014,65 and over,,,Undefined,Units,,31.8
2015,65 and over,,,Undefined,Units,,29.1
2016,65 and over,,,Undefined,Units,,31.1
2017,65 and over,,,Undefined,Units,,32.4
2012,,,North East,Undefined,Units,E12000001,36.7
2013,,,North East,Undefined,Units,E12000001,36.6
2014,,,North East,Undefined,Units,E12000001,38.4
2015,,,North East,Undefined,Units,E12000001,42.9
2016,,,North East,Undefined,Units,E12000001,38.3
2017,,,North East,Undefined,Units,E12000001,39.9
2012,,,North West,Undefined,Units,E12000002,35.0
2013,,,North West,Undefined,Units,E12000002,35.5
