Year,OBS_STATUS,UNIT_MULT,REPORTING_TYPE,SERIES,URBANISATION,UNIT_MEASURE,Value
2000,A,0,G,SH_SAN_SAFE,,PT,98
2001,A,0,G,SH_SAN_SAFE,,PT,98
2002,A,0,G,SH_SAN_SAFE,,PT,98
2003,A,0,G,SH_SAN_SAFE,,PT,98
2004,A,0,G,SH_SAN_SAFE,,PT,98
2005,A,0,G,SH_SAN_SAFE,,PT,98
2006,A,0,G,SH_SAN_SAFE,,PT,98
2007,A,0,G,SH_SAN_SAFE,,PT,98
2008,A,0,G,SH_SAN_SAFE,,PT,98
2009,A,0,G,SH_SAN_SAFE,,PT,98
2010,A,0,G,SH_SAN_SAFE,,PT,98
2011,A,0,G,SH_SAN_SAFE,,PT,98
2012,A,0,G,SH_SAN_SAFE,,PT,98
2013,A,0,G,SH_SAN_SAFE,,PT,98
2014,A,0,G,SH_SAN_SAFE,,PT,98
2015,A,0,G,SH_SAN_SAFE,,PT,98
2016,A,0,G,SH_SAN_SAFE,,PT,98
2017,A,0,G,SH_SAN_SAFE,,PT,98
2018,A,0,G,SH_SAN_SAFE,,PT,98
2019,A,0,G,SH_SAN_SAFE,,PT,98
2020,A,0,G,SH_SAN_SAFE,,PT,98
2000,A,0,G,SH_SAN_SAFE,R,PT,94
2001,A,0,G,SH_SAN_SAFE,R,PT,94
2002,A,0,G,SH_SAN_SAFE,R,PT,94
2003,A,0,G,SH_SAN_SAFE,R,PT,94
2004,A,0,G,SH_SAN_SAFE,R,PT,94
2005,A,0,G,SH_SAN_SAFE,R,PT,94
2006,A,0,G,SH_SAN_SAFE,R,PT,94
2007,A,0,G,SH_SAN_SAFE,R,PT,94
2008,A,0,G,SH_SAN_SAFE,R,PT,94
2009,A,0,G,SH_SAN_SAFE,R,PT,94
2010,A,0,G,SH_SAN_SAFE,R,PT,94
2011,A,0,G,SH_SAN_SAFE,R,PT,94
2012,A,0,G,SH_SAN_SAFE,R,PT,94
2013,A,0,G,SH_SAN_SAFE,R,PT,94
2014,A,0,G,SH_SAN_SAFE,R,PT,94
2015,A,0,G,SH_SAN_SAFE,R,PT,94
2016,A,0,G,SH_SAN_SAFE,R,PT,94
2017,A,0,G,SH_SAN_SAFE,R,PT,94
2018,A,0,G,SH_SAN_SAFE,R,PT,94
2019,A,0,G,SH_SAN_SAFE,R,PT,94
2020,A,0,G,SH_SAN_SAFE,R,PT,94
2000,A,0,G,SH_SAN_SAFE,U,PT,99
2001,A,0,G,SH_SAN_SAFE,U,PT,99
2002,A,0,G,SH_SAN_SAFE,U,PT,99
2003,A,0,G,SH_SAN_SAFE,U,PT,99
2004,A,0,G,SH_SAN_SAFE,U,PT,99
2005,A,0,G,SH_SAN_SAFE,U,PT,99
2006,A,0,G,SH_SAN_SAFE,U,PT,99
2007,A,0,G,SH_SAN_SAFE,U,PT,99
2008,A,0,G,SH_SAN_SAFE,U,PT,99
2009,A,0,G,SH_SAN_SAFE,U,PT,99
2010,A,0,G,SH_SAN_SAFE,U,PT,99
2011,A,0,G,SH_SAN_SAFE,U,PT,99
2012,A,0,G,SH_SAN_SAFE,U,PT,99
2013,A,0,G,SH_SAN_SAFE,U,PT,99
2014,A,0,G,SH_SAN_SAFE,U,PT,99
2015,A,0,G,SH_SAN_SAFE,U,PT,99
2016,A,0,G,SH_SAN_SAFE,U,PT,99
2017,A,0,G,SH_SAN_SAFE,U,PT,99
2018,A,0,G,SH_SAN_SAFE,U,PT,99
2019,A,0,G,SH_SAN_SAFE,U,PT,99
2020,A,0,G,SH_SAN_SAFE,U,PT,99
