Year,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2006,EN_LKRV_PWAC,,PT,-14.41305
2007,EN_LKRV_PWAC,,PT,-20.2395
2008,EN_LKRV_PWAC,,PT,-30.82618
2009,EN_LKRV_PWAC,,PT,-41.54095
2010,EN_LKRV_PWAC,,PT,-34.74241
2011,EN_LKRV_PWAC,,PT,-22.68663
2012,EN_LKRV_PWAC,,PT,-16.11993
2013,EN_LKRV_PWAC,,PT,-8.45769
2014,EN_LKRV_PWAC,,PT,2.96089
2015,EN_LKRV_PWAC,,PT,3.53803
2016,EN_LKRV_PWAC,,PT,6.7615
2017,EN_LKRV_PWAC,,PT,6.6955
2018,EN_LKRV_PWAC,,PT,9.59632
2019,EN_LKRV_PWAC,,PT,9.21681
2020,EN_LKRV_PWAC,,PT,8.72763
2000,EN_LKRV_PWAN,,KM2,764.73
2001,EN_LKRV_PWAN,,KM2,1121.362
2002,EN_LKRV_PWAN,,KM2,1476.748
2003,EN_LKRV_PWAN,,KM2,1713.728
2004,EN_LKRV_PWAN,,KM2,1726.706
2005,EN_LKRV_PWAN,,KM2,1684.834
2006,EN_LKRV_PWAN,,KM2,1441.998
2007,EN_LKRV_PWAN,,KM2,1343.832
2008,EN_LKRV_PWAN,,KM2,1165.464
2009,EN_LKRV_PWAN,,KM2,984.938
2010,EN_LKRV_PWAN,,KM2,1099.482
2011,EN_LKRV_PWAN,,KM2,1302.602
2012,EN_LKRV_PWAN,,KM2,1413.24
2013,EN_LKRV_PWAN,,KM2,1542.336
2014,EN_LKRV_PWAN,,KM2,1734.72
2015,EN_LKRV_PWAN,,KM2,1744.444
2016,EN_LKRV_PWAN,,KM2,1798.754
2017,EN_LKRV_PWAN,,KM2,1797.642
2018,EN_LKRV_PWAN,,KM2,1846.516
2019,EN_LKRV_PWAN,,KM2,1840.122
2020,EN_LKRV_PWAN,,KM2,1831.88
2000,EN_LKRV_PWAP,,PT,0.00316
2001,EN_LKRV_PWAP,,PT,0.00464
2002,EN_LKRV_PWAP,,PT,0.0061
2003,EN_LKRV_PWAP,,PT,0.00708
2004,EN_LKRV_PWAP,,PT,0.00714
2005,EN_LKRV_PWAP,,PT,0.00696
2006,EN_LKRV_PWAP,,PT,0.00596
2007,EN_LKRV_PWAP,,PT,0.00555
2008,EN_LKRV_PWAP,,PT,0.00482
2009,EN_LKRV_PWAP,,PT,0.00407
2010,EN_LKRV_PWAP,,PT,0.00454
2011,EN_LKRV_PWAP,,PT,0.00538
2012,EN_LKRV_PWAP,,PT,0.00584
2013,EN_LKRV_PWAP,,PT,0.00638
2014,EN_LKRV_PWAP,,PT,0.00717
2015,EN_LKRV_PWAP,,PT,0.00721
2016,EN_LKRV_PWAP,,PT,0.00744
2017,EN_LKRV_PWAP,,PT,0.00743
2018,EN_LKRV_PWAP,,PT,0.00763
2019,EN_LKRV_PWAP,,PT,0.00761
2020,EN_LKRV_PWAP,,PT,0.00757
2006,EN_LKRV_SWAC,,PT,-20.50058
2007,EN_LKRV_SWAC,,PT,-30.68101
2008,EN_LKRV_SWAC,,PT,-46.09193
2009,EN_LKRV_SWAC,,PT,-65.33827
2010,EN_LKRV_SWAC,,PT,-56.95537
2011,EN_LKRV_SWAC,,PT,-50.83281
2012,EN_LKRV_SWAC,,PT,-34.04802
2013,EN_LKRV_SWAC,,PT,-28.55035
2014,EN_LKRV_SWAC,,PT,-2.50291
2015,EN_LKRV_SWAC,,PT,16.53662
2016,EN_LKRV_SWAC,,PT,39.57253
2017,EN_LKRV_SWAC,,PT,59.67627
2018,EN_LKRV_SWAC,,PT,91.40024
2019,EN_LKRV_SWAC,,PT,107.29185
2020,EN_LKRV_SWAC,,PT,114.3646
2000,EN_LKRV_SWAN,,KM2,55.862
2001,EN_LKRV_SWAN,,KM2,104.136
2002,EN_LKRV_SWAN,,KM2,138.8
2003,EN_LKRV_SWAN,,KM2,169.97
2004,EN_LKRV_SWAN,,KM2,175.778
2005,EN_LKRV_SWAN,,KM2,178.912
2006,EN_LKRV_SWAN,,KM2,142.234
2007,EN_LKRV_SWAN,,KM2,124.02
2008,EN_LKRV_SWAN,,KM2,96.448
2009,EN_LKRV_SWAN,,KM2,62.014
2010,EN_LKRV_SWAN,,KM2,77.012
2011,EN_LKRV_SWAN,,KM2,87.966
2012,EN_LKRV_SWAN,,KM2,117.996
2013,EN_LKRV_SWAN,,KM2,127.832
2014,EN_LKRV_SWAN,,KM2,174.434
2015,EN_LKRV_SWAN,,KM2,208.498
2016,EN_LKRV_SWAN,,KM2,249.712
2017,EN_LKRV_SWAN,,KM2,285.68
2018,EN_LKRV_SWAN,,KM2,342.438
2019,EN_LKRV_SWAN,,KM2,370.87
2020,EN_LKRV_SWAN,,KM2,383.524
2000,EN_LKRV_SWAP,,PT,0.00023
2001,EN_LKRV_SWAP,,PT,0.00043
2002,EN_LKRV_SWAP,,PT,0.00057
2003,EN_LKRV_SWAP,,PT,0.0007
2004,EN_LKRV_SWAP,,PT,0.00073
2005,EN_LKRV_SWAP,,PT,0.00074
2006,EN_LKRV_SWAP,,PT,0.00059
2007,EN_LKRV_SWAP,,PT,0.00051
2008,EN_LKRV_SWAP,,PT,0.0004
2009,EN_LKRV_SWAP,,PT,0.00026
2010,EN_LKRV_SWAP,,PT,0.00032
2011,EN_LKRV_SWAP,,PT,0.00036
2012,EN_LKRV_SWAP,,PT,0.00049
2013,EN_LKRV_SWAP,,PT,0.00053
2014,EN_LKRV_SWAP,,PT,0.00072
2015,EN_LKRV_SWAP,,PT,0.00086
2016,EN_LKRV_SWAP,,PT,0.00103
2017,EN_LKRV_SWAP,,PT,0.00118
2018,EN_LKRV_SWAP,,PT,0.00142
2019,EN_LKRV_SWAP,,PT,0.00153
2020,EN_LKRV_SWAP,,PT,0.00159
2017,EN_LKW_QLTRB,DL_EXTREME,PT,23.30167
2018,EN_LKW_QLTRB,DL_EXTREME,PT,22.62583
