Year,COMMENT_OBS,SOURCE_DETAIL,SERIES,SEX,AGE,DISABILITY_STATUS,Value
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,5.6
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,4.7
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,5.0
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,4.8
2004,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,4.6
2005,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,4.8
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,5.4
2007,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,5.3
2008,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,5.6
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,7.5
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,7.8
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,8.0
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,7.9
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,7.5
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,6.1
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,5.3
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,4.8
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,4.3
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,4.0
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE15,,3.7
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,4.4
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.7
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,4.0
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.7
2004,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.5
2005,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.3
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.8
2007,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.6
2008,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.9
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,5.6
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,5.8
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,5.8
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,5.7
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,5.4
2014,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,4.4
2015,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.8
2016,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.6
2017,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.2
2018,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,3.0
2019,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y_GE25,,2.7
2000,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,12.0
2001,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,10.3
2002,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,10.9
2003,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,11.4
2004,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,10.7
2005,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,12.7
2006,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,13.9
2007,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,14.3
2008,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,15.0
2009,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,19.1
2010,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,19.9
2011,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,21.3
2012,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,21.2
2013,Repository: Eurostat special tabulation,LFS - EU Labour Force Survey,SL_TLF_UEM,,Y15T24,,20.7
