Year,COMMENT_OBS,SERIES,Value
2005,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,326.5
2006,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,562.2
2007,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,423.9
2008,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,1533.2
2009,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,1806.8
2010,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,921.6
2011,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,722.2
2012,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,854.4
2013,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,879.4
2014,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,914.2
2015,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,1566.2
2016,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,838.9
2017,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,1175.9
2018,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,648.5
2019,"Commitments; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDCMDL,1175.3
2006,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,380.0
2007,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1081.0
2008,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1124.0
2009,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1251.0
2010,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1177.0
2011,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1240.0
2012,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1263.0
2013,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1300.0
2014,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1461.0
2015,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,2028.0
2016,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1877.0
2017,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,1985.0
2018,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,2445.0
2019,"Gross disbursements; Based on OECD, CRS databased, 2021; Constant 2019 USD million",DC_TOF_TRDDBMDL,2687.0
