Year,UNIT_MULT,SOURCE_DETAIL,SERIES,ACTIVITY,UNIT_MEASURE,BASE_PER,Value
2000,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,520.563
2001,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,535.303
2002,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,521.177
2003,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,533.472
2004,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,533.391
2005,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,531.649
2006,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,532.9
2007,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,521.733
2008,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,507.897
2009,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,460.084
2010,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,476.626
2011,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,439.179
2012,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,461.442
2013,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,447.003
2014,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,408.663
2015,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,394.022
2016,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,372.353
2017,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,359.944
2018,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,,T,,352.363
2000,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,59.373
2001,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,62.671
2002,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,58.265
2003,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,59.118
2004,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,57.152
2005,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,54.05
2006,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,53.39
2007,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,52.484
2008,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,50.9
2009,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,42.14
2010,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,43.876
2011,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,39.148
2012,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,39.201
2013,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,39.856
2014,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,39.509
2015,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,37.823
2016,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,30.638
2017,6,"IEA (2020), CO2 Emissions from fuel combustion. https://www.iea.org/statistics",EN_ATM_CO2,ISIC4_C10T32X19,T,,31.479
