Year,Value,Series,Observation status,Unit multiplier
2008,8.0,Number of tables reported,Normal value,Units
2009,9.0,Number of tables reported,Normal value,Units
2010,9.0,Number of tables reported,Normal value,Units
2011,10.0,Number of tables reported,Normal value,Units
2012,9.0,Number of tables reported,Normal value,Units
2013,9.0,Number of tables reported,Normal value,Units
2014,9.0,Number of tables reported,Normal value,Units
2015,9.0,Number of tables reported,Normal value,Units
2016,9.0,Number of tables reported,Normal value,Units
2017,9.0,Number of tables reported,Normal value,Units
2018,9.0,Number of tables reported,Normal value,Units
2019,9.0,Number of tables reported,Normal value,Units
